x-axis,1,2,3
second,Volt,Volt,Volt
+4.7200000E-03,-614.4400575E-03,+3.1511182776E+00,-128.8277310E-03
+4.7204625E-03,-202.1386902E-03,+3.1514026386E+00,-231.1592779E-03
+4.7209250E-03,+393.9744706E-03,+3.1518100812E+00,-46.4706339E-03
+4.7213875E-03,+175.7100087E-03,+3.1515511854E+00,+206.0472314E-03
+4.7218500E-03,-343.1418464E-03,+3.1507702537E+00,+163.3054402E-03
+4.7223125E-03,-620.4180046E-03,+3.1507108350E+00,-83.9642672E-03
+4.7227750E-03,-273.7034388E-03,+3.1512795570E+00,-240.9939240E-03
+4.7232375E-03,+301.8720677E-03,+3.1517124648E+00,-85.0696675E-03
+4.7237000E-03,+261.8713890E-03,+3.1513983944E+00,+177.1546693E-03
+4.7241625E-03,-216.7718219E-03,+3.1510206612E+00,+196.5417226E-03
+4.7246250E-03,-620.5134990E-03,+3.1508042073E+00,-29.5734370E-03
+4.7250875E-03,-342.6121710E-03,+3.1512158941E+00,-239.8329247E-03
+4.7255500E-03,+201.0113462E-03,+3.1516827554E+00,-120.8963937E-03
+4.7260125E-03,+330.5509347E-03,+3.1515554296E+00,+141.3166960E-03
+4.7264750E-03,-116.0418216E-03,+3.1511140334E+00,+217.4838485E-03
+4.7269375E-03,-620.5134990E-03,+3.1506768815E+00,+13.4614159E-03
+4.7274000E-03,-428.3088120E-03,+3.1509654867E+00,-225.0022258E-03
+4.7278625E-03,+75.3229393E-03,+3.1517167090E+00,-161.8310072E-03
+4.7283250E-03,+392.8769221E-03,+3.1518058370E+00,+86.2601639E-03
+4.7287875E-03,-17.6783839E-03,+3.1514620573E+00,+230.8636698E-03
+4.7292500E-03,-610.3172475E-03,+3.1511776963E+00,+53.9958019E-03
+4.7297125E-03,-491.6470397E-03,+3.1510885683E+00,-200.6566808E-03
+4.7301750E-03,-17.5731278E-03,+3.1514323480E+00,-189.9284196E-03
+4.7306375E-03,+400.5292037E-03,+3.1515257202E+00,+39.6213538E-03
+4.7311000E-03,+54.3175749E-03,+3.1512710686E+00,+237.5953857E-03
+4.7315625E-03,-521.1840827E-03,+3.1508339166E+00,+106.3381720E-03
+4.7320250E-03,-554.6987842E-03,+3.1508042073E+00,-156.8370764E-03
+4.7324875E-03,-110.0490198E-03,+3.1513432199E+00,-213.0794363E-03
+4.7329500E-03,+400.5292037E-03,+3.1519331629E+00,-4.6755101E-03
+4.7334125E-03,+123.4491272E-03,+3.1514578131E+00,+227.4596141E-03
+4.7338750E-03,-419.7911393E-03,+3.1507702537E+00,+140.6231947E-03
+4.7343375E-03,-620.2524810E-03,+3.1506471721E+00,-117.3397592E-03
+4.7348000E-03,-238.4078735E-03,+3.1511225218E+00,-233.0358482E-03
+4.7352625E-03,+353.2828372E-03,+3.1517464183E+00,-52.0850658E-03
+4.7357250E-03,+209.6805367E-03,+3.1515851390E+00,+202.0536572E-03
+4.7361875E-03,-293.3184054E-03,+3.1511479870E+00,+170.8127825E-03
+4.7366500E-03,-620.4816675E-03,+3.1509909518E+00,-73.2215759E-03
+4.7371125E-03,-301.2546235E-03,+3.1512158941E+00,-241.6275821E-03
+4.7375750E-03,+261.6006095E-03,+3.1516827554E+00,-90.9364167E-03
+4.7380375E-03,+273.0123980E-03,+3.1515554296E+00,+170.3788137E-03
+4.7385000E-03,-200.4316754E-03,+3.1511776963E+00,+204.1305535E-03
+4.7389625E-03,-620.5134990E-03,+3.1508339166E+00,-13.3109592E-03
+4.7394250E-03,-364.6777350E-03,+3.1509951960E+00,-232.5740799E-03
+4.7398875E-03,+168.6485189E-03,+3.1514323480E+00,-128.0342790E-03
+4.7403500E-03,+335.9113516E-03,+3.1515257202E+00,+131.3309566E-03
+4.7408125E-03,-108.1735106E-03,+3.1512710686E+00,+224.1574190E-03
+4.7412750E-03,-620.5041617E-03,+3.1508975796E+00,+29.3177243E-03
+4.7417375E-03,-448.4071922E-03,+3.1511522312E+00,-216.4535704E-03
+4.7422000E-03,+45.8453151E-03,+3.1516530461E+00,-169.4196259E-03
+4.7426625E-03,+400.4146104E-03,+3.1517124648E+00,+75.4009694E-03
+4.7431250E-03,+19.9179589E-03,+3.1513347315E+00,+237.4256180E-03
+4.7435875E-03,-571.3903500E-03,+3.1510546147E+00,+71.0387869E-03
+4.7440500E-03,-517.2076974E-03,+3.1510546147E+00,-190.2240277E-03
+4.7445125E-03,-55.0620925E-03,+3.1514365922E+00,-195.1708479E-03
