x-axis,1,2,3
second,Volt,Volt,Volt
+4.7650000E-03,,,
+4.7652938E-03,,,
+4.7655875E-03,,,
+4.7658813E-03,,,
+4.7661750E-03,-46.3849400E-03,+2.5590530506E+00,+14.8352298E-03
+4.7664688E-03,-46.3849400E-03,+2.5590530506E+00,-54.6740512E-03
+4.7667625E-03,-35.3098172E-03,+2.5590530506E+00,-95.9975232E-03
+4.7670563E-03,+13.6484443E-03,+2.5590530506E+00,-86.8849725E-03
+4.7673500E-03,+65.9366668E-03,+2.5590530506E+00,-32.1047555E-03
+4.7676438E-03,+65.9366668E-03,+2.5590530506E+00,+36.3463758E-03
+4.7679375E-03,+56.2409176E-03,+2.5590530506E+00,+81.0957204E-03
+4.7682313E-03,+9.5108749E-03,+2.5590530506E+00,+76.8380625E-03
+4.7685250E-03,-46.3849400E-03,+2.5590530506E+00,+25.8146615E-03
+4.7688188E-03,-46.3849400E-03,+2.5590530506E+00,-43.3914080E-03
+4.7691125E-03,-40.4723151E-03,+2.5590530506E+00,-92.5706481E-03
+4.7694063E-03,+146.5266E-06,+2.5590530506E+00,-92.3023519E-03
+4.7697000E-03,+65.9366668E-03,+2.5590530506E+00,-43.6625443E-03
+4.7699938E-03,+65.9366668E-03,+2.5590530506E+00,+26.7037478E-03
+4.7702875E-03,+61.8248244E-03,+2.5590530506E+00,+77.4197609E-03
+4.7705813E-03,+24.1149389E-03,+2.5590530506E+00,+81.1326404E-03
+4.7708750E-03,-46.3849400E-03,+2.5590530506E+00,+34.7108711E-03
+4.7711688E-03,-46.3849400E-03,+2.5590530506E+00,-35.4464306E-03
+4.7714625E-03,-44.3562527E-03,+2.5590530506E+00,-88.2262867E-03
+4.7717562E-03,-10.0367868E-03,+2.5590530506E+00,-94.9747898E-03
+4.7720500E-03,+65.8704381E-03,+2.5590530506E+00,-51.6623170E-03
+4.7723437E-03,+65.9366668E-03,+2.5590530506E+00,+16.5651226E-03
+4.7726375E-03,+65.0398590E-03,+2.5590530506E+00,+72.0992755E-03
+4.7729312E-03,+32.8168527E-03,+2.5590530506E+00,+83.9397277E-03
+4.7732250E-03,-45.6176862E-03,+2.5590530506E+00,+44.7581152E-03
+4.7735187E-03,-46.3849400E-03,+2.5590530506E+00,-23.2972540E-03
+4.7738125E-03,-46.3830289E-03,+2.5590530506E+00,-82.5954063E-03
+4.7741062E-03,-18.8321264E-03,+2.5590530506E+00,-97.9983852E-03
+4.7744000E-03,+56.7308706E-03,+2.5590530506E+00,-61.8888151E-03
+4.7746937E-03,+65.9366668E-03,+2.5590530506E+00,+6.1725682E-03
+4.7749875E-03,+65.9366668E-03,+2.5590530506E+00,+66.0921789E-03
+4.7752812E-03,+39.8236485E-03,+2.5590530506E+00,+85.4920371E-03
+4.7755750E-03,-33.4265979E-03,+2.5590530506E+00,+52.4018859E-03
+4.7758687E-03,-46.3849400E-03,+2.5590530506E+00,-14.7084323E-03
+4.7761625E-03,-46.3849400E-03,+2.5590530506E+00,-76.1030042E-03
+4.7764562E-03,-22.3784885E-03,+2.5590530506E+00,-98.4011637E-03
+4.7767500E-03,+47.4688425E-03,+2.5590530506E+00,-68.8743745E-03
+4.7770437E-03,+65.9366668E-03,+2.5590530506E+00,-4.4927930E-03
+4.7773375E-03,+65.9366668E-03,+2.5590530506E+00,+58.9848338E-03
+4.7776312E-03,+43.9025236E-03,+2.5590530506E+00,+86.3687611E-03
+4.7779250E-03,-22.7587709E-03,+2.5590530506E+00,+61.0513499E-03
+4.7782187E-03,-46.3849400E-03,+2.5590530506E+00,-2.2722489E-03
+4.7785125E-03,-46.3849400E-03,+2.5590530506E+00,-68.5913770E-03
+4.7788062E-03,-27.9050608E-03,+2.5590530506E+00,-98.8856339E-03
+4.7791000E-03,+33.0147303E-03,+2.5590530506E+00,-77.1262388E-03
+4.7793937E-03,+65.9366668E-03,+2.5590530506E+00,-15.0086368E-03
+4.7796875E-03,+65.9366668E-03,+2.5590530506E+00,+50.9843928E-03
+4.7799812E-03,+48.8719952E-03,+2.5590530506E+00,+85.0518374E-03
+4.7802750E-03,-9.7616912E-03,+2.5590530506E+00,+67.0223618E-03
