File,f_in [Hz],f0_ringdown [Hz],Delta_f (f_in - f0) [Hz],A0 [mV],A_rms_1ms [mV],Energia_rd [uV^2*s],tau [ms],t_half [ms],Q_factor,R_squared
scope_17.csv,417260.0,417781.66,-521.66,3.806,2.764,0.027,1.7736,1.2294,2327.9,0.96511
scope_16.csv,417460.0,417782.26,-322.26,6.392,4.060,0.058,1.9956,1.3833,2619.3,0.98359
scope_15.csv,417560.0,417781.11,-221.11,10.818,6.275,0.134,2.5554,1.7712,3353.9,0.99170
scope_14.csv,417660.0,417783.39,-123.39,13.832,8.032,0.213,2.4260,1.6816,3184.1,0.98900
scope_13.csv,417710.0,417783.67,-73.67,21.237,12.284,0.506,2.3812,1.6505,3125.3,0.99478
scope_12.csv,417760.0,417781.59,-21.59,30.834,17.669,1.031,2.5309,1.7543,3321.7,0.99018
scope_11.csv,417770.0,417782.02,-12.02,32.254,18.432,1.128,2.5388,1.7598,3332.2,0.99192
scope_10.csv,417780.0,417781.87,-1.87,33.500,19.246,1.225,2.5327,1.7555,3324.2,0.99002
scope_9.csv,417790.0,417781.03,8.97,34.915,19.902,1.313,2.6180,1.8146,3436.1,0.98634
scope_8.csv,417800.0,417781.19,18.81,35.913,20.453,1.393,2.5422,1.7621,3336.7,0.99377
scope_7.csv,417810.0,417780.49,29.51,36.552,20.947,1.450,2.5536,1.7700,3351.6,0.99096
scope_6.csv,417820.0,417779.77,40.23,37.130,21.288,1.516,2.3914,1.6576,3138.8,0.99866
scope_5.csv,417830.0,417779.03,50.97,37.085,21.359,1.527,2.4219,1.6788,3178.8,0.99692
scope_18.csv,417840.0,417776.09,63.91,37.061,21.387,1.523,2.4692,1.7115,3240.8,0.99450
scope_19.csv,417850.0,417777.16,72.84,37.047,21.293,1.517,2.3528,1.6309,3088.0,0.99951
scope_20.csv,417860.0,417777.21,82.79,36.058,20.991,1.471,2.3058,1.5983,3026.3,0.99911
scope_21.csv,417870.0,417775.84,94.16,35.805,20.525,1.410,2.3613,1.6367,3099.2,0.99963
scope_22.csv,417880.0,417776.34,103.66,34.606,20.003,1.344,2.2973,1.5923,3015.1,0.99967
scope_23.csv,417890.0,417775.61,114.39,33.649,19.394,1.258,2.3058,1.5983,3026.3,0.99909
scope_24.csv,417900.0,417777.28,122.72,32.503,18.741,1.179,2.3035,1.5967,3023.4,0.99968
scope_25.csv,417950.0,417779.58,170.42,24.891,14.380,0.690,2.3303,1.6152,3058.5,0.99902
scope_26.csv,418000.0,417781.66,218.34,16.440,9.655,0.311,2.3904,1.6569,3137.4,0.99053
scope_27.csv,418100.0,417780.80,319.20,10.988,6.368,0.137,2.4900,1.7259,3268.1,0.99321
scope_28.csv,418200.0,417781.18,418.82,8.182,4.919,0.082,2.3249,1.6115,3051.4,0.98580
scope_29.csv,418400.0,417777.45,622.55,5.220,3.253,0.037,2.2806,1.5808,2993.2,0.98481
