File_Num,f_in_Hz,fs_rd_Hz,delta_f_Hz,A0_mV,tau_ms,Q_factor,R2_fit,A_rms_1ms_mV,offset_mV
17,417260.0,417852.76,-592.76,3.806,1.7736,2328.3,0.96512,2.764,0.867
16,417460.0,417853.37,-393.37,6.392,1.9956,2619.7,0.98360,4.060,0.713
15,417560.0,417852.21,-292.21,10.818,2.5554,3354.5,0.99170,6.275,-0.190
14,417660.0,417854.49,-194.49,13.832,2.4260,3184.7,0.98900,8.032,-0.169
13,417710.0,417854.77,-144.77,21.237,2.3812,3125.9,0.99478,12.284,-0.092
12,417760.0,417852.70,-92.70,30.834,2.5309,3322.4,0.99018,17.669,-0.928
11,417770.0,417853.13,-83.13,32.254,2.5389,3332.8,0.99192,18.432,-0.989
10,417780.0,417852.97,-72.97,33.500,2.5327,3324.8,0.99002,19.246,-0.949
9,417790.0,417852.13,-62.13,34.915,2.6180,3436.7,0.98633,19.902,-1.436
8,417800.0,417852.30,-52.30,35.913,2.5423,3337.3,0.99377,20.453,-1.155
7,417810.0,417851.60,-41.60,36.552,2.5537,3352.3,0.99096,20.947,-1.175
6,417820.0,417850.88,-30.88,37.130,2.3914,3139.3,0.99866,21.288,-0.392
5,417830.0,417850.15,-20.15,37.085,2.4220,3179.3,0.99692,21.359,-0.423
18,417840.0,417847.21,-7.21,37.061,2.4693,3241.4,0.99450,21.387,-0.631
19,417850.0,417848.28,1.72,37.047,2.3528,3088.6,0.99951,21.293,-0.175
20,417860.0,417848.33,11.67,36.058,2.3058,3026.9,0.99911,20.991,0.258
21,417870.0,417846.96,23.04,35.805,2.3613,3099.7,0.99963,20.525,-0.257
22,417880.0,417847.46,32.54,34.606,2.2973,3015.6,0.99967,20.003,0.201
23,417890.0,417846.73,43.27,33.649,2.3058,3026.8,0.99909,19.394,0.069
24,417900.0,417848.40,51.60,32.503,2.3035,3023.9,0.99968,18.741,0.119
25,417950.0,417850.69,99.31,24.891,2.3303,3059.0,0.99902,14.380,-0.004
26,418000.0,417852.77,147.23,16.440,2.3904,3137.9,0.99053,9.655,0.025
27,418100.0,417851.91,248.09,10.988,2.4900,3268.7,0.99321,6.368,-0.148
28,418200.0,417852.28,347.72,8.182,2.3249,3052.0,0.98580,4.919,0.208
29,418400.0,417848.56,551.44,5.220,2.2806,2993.7,0.98482,3.253,0.326
