x-axis,1,2,3
second,Volt,Volt,Volt
+5.8700000E-03,,,
+5.8703875E-03,,,
+5.8707750E-03,-1.2324637619E+00,+2.5528030505E+00,+5.6990724E-03
+5.8711625E-03,-1.2401443016E+00,+2.5528030505E+00,-24.8867191E-03
+5.8715500E-03,-633.3518782E-03,+2.5528030505E+00,-25.5272453E-03
+5.8719375E-03,+550.6703372E-03,+2.5528030505E+00,-7.8498464E-03
+5.8723250E-03,+902.6709616E-03,+2.5528030505E+00,+22.2253022E-03
+5.8727125E-03,+159.9159647E-03,+2.5528030505E+00,+25.5280305E-03
+5.8731000E-03,-1.1005201744E+00,+2.5528030505E+00,+9.4457037E-03
+5.8734875E-03,-1.2401443016E+00,+2.5528030505E+00,-19.6989862E-03
+5.8738750E-03,-785.5159226E-03,+2.5528030505E+00,-25.5272453E-03
+5.8742625E-03,+309.7439336E-03,+2.5528030505E+00,-11.4652014E-03
+5.8746500E-03,+904.1772835E-03,+2.5528030505E+00,+16.5009902E-03
+5.8750375E-03,+312.9076351E-03,+2.5528030505E+00,+25.5280305E-03
+5.8754250E-03,-862.0596282E-03,+2.5528030505E+00,+13.0662256E-03
+5.8758125E-03,-1.2401443016E+00,+2.5528030505E+00,-13.9664931E-03
+5.8762000E-03,-937.1948803E-03,+2.5528030505E+00,-25.5272453E-03
+5.8765875E-03,+69.5855839E-03,+2.5528030505E+00,-15.0772130E-03
+5.8769750E-03,+904.1772835E-03,+2.5528030505E+00,+10.7819717E-03
+5.8773625E-03,+464.6121237E-03,+2.5528030505E+00,+25.5280305E-03
+5.8777500E-03,-621.8608546E-03,+2.5528030505E+00,+16.6770215E-03
+5.8781375E-03,-1.2401443016E+00,+2.5528030505E+00,-8.2493996E-03
+5.8785250E-03,-1.0721766425E+00,+2.5528030505E+00,-25.5272453E-03
+5.8789125E-03,-144.1483051E-03,+2.5528030505E+00,-18.6943916E-03
+5.8793000E-03,+904.1570715E-03,+2.5528030505E+00,+5.0547723E-03
+5.8796875E-03,+584.7604446E-03,+2.5528030505E+00,+25.5280305E-03
+5.8800750E-03,-431.6260131E-03,+2.5528030505E+00,+20.2932883E-03
+5.8804625E-03,-1.2401443016E+00,+2.5528030505E+00,-2.5236439E-03
+5.8808500E-03,-1.2243406869E+00,+2.5528030505E+00,-25.5272453E-03
+5.8812375E-03,-400.1379279E-03,+2.5528030505E+00,-22.3073151E-03
+5.8816250E-03,+880.3069745E-03,+2.5528030505E+00,-665.6898E-06
+5.8820125E-03,+753.2642522E-03,+2.5528030505E+00,+25.5280305E-03
+5.8824000E-03,-164.8283178E-03,+2.5528030505E+00,+23.9077314E-03
+5.8827875E-03,-1.2401443016E+00,+2.5528030505E+00,+3.1998323E-03
+5.8831750E-03,-1.2401443016E+00,+2.5528030505E+00,-25.5262829E-03
+5.8835625E-03,-562.7589952E-03,+2.5528030505E+00,-25.3603828E-03
+5.8839500E-03,+662.4424020E-03,+2.5528030505E+00,-6.0683837E-03
+5.8843375E-03,+832.6780542E-03,+2.5528030505E+00,+24.6276364E-03
+5.8847250E-03,-34.0985109E-03,+2.5528030505E+00,+25.5274226E-03
+5.8851125E-03,-1.2322414305E+00,+2.5528030505E+00,+7.7600071E-03
+5.8855000E-03,-1.2401443016E+00,+2.5528030505E+00,-22.3664819E-03
+5.8858875E-03,-656.1254231E-03,+2.5528030505E+00,-25.5272453E-03
+5.8862750E-03,+514.6122244E-03,+2.5528030505E+00,-9.7759082E-03
+5.8866625E-03,+902.6709616E-03,+2.5528030505E+00,+19.1757044E-03
+5.8870500E-03,+167.6645868E-03,+2.5528030505E+00,+25.5280305E-03
+5.8874375E-03,-1.0882515228E+00,+2.5528030505E+00,+11.3775403E-03
+5.8878250E-03,-1.2401443016E+00,+2.5528030505E+00,-16.6402449E-03
+5.8882125E-03,-824.9483667E-03,+2.5528030505E+00,-25.5272453E-03
+5.8886000E-03,+247.3092305E-03,+2.5528030505E+00,-13.3952143E-03
+5.8889875E-03,+904.1772835E-03,+2.5528030505E+00,+13.4451363E-03
+5.8893750E-03,+337.2130328E-03,+2.5528030505E+00,+25.5280305E-03
+5.8897625E-03,-823.5760818E-03,+2.5528030505E+00,+14.9889441E-03
+5.8901500E-03,-1.2401443016E+00,+2.5528030505E+00,-10.9221890E-03
+5.8905375E-03,-935.3183606E-03,+2.5528030505E+00,-25.5272453E-03
+5.8909250E-03,+72.5567400E-03,+2.5528030505E+00,-16.0607598E-03
+5.8913125E-03,+904.1772835E-03,+2.5528030505E+00,+9.2246894E-03
+5.8917000E-03,+462.8249621E-03,+2.5528030505E+00,+25.5280305E-03
+5.8920875E-03,-624.6905271E-03,+2.5528030505E+00,+17.8408041E-03
+5.8924750E-03,-1.2401443016E+00,+2.5528030505E+00,-6.4067438E-03
+5.8928625E-03,-1.0871505036E+00,+2.5528030505E+00,-25.5272453E-03
+5.8932500E-03,-167.8569185E-03,+2.5528030505E+00,-20.0760985E-03
+5.8936375E-03,+904.1570715E-03,+2.5528030505E+00,+2.8670697E-03
+5.8940250E-03,+614.4911543E-03,+2.5528030505E+00,+25.5280305E-03
+5.8944125E-03,-384.5523894E-03,+2.5528030505E+00,+21.8561429E-03
+5.8948000E-03,-1.2401443016E+00,+2.5528030505E+00,-49.1241E-06
+5.8951875E-03,-1.2248896008E+00,+2.5528030505E+00,-25.5272453E-03
+5.8955750E-03,-401.5942518E-03,+2.5528030505E+00,-24.0838388E-03
+5.8959625E-03,+879.3772250E-03,+2.5528030505E+00,-3.4903727E-03
+5.8963500E-03,+766.4509517E-03,+2.5528030505E+00,+25.5092623E-03
+5.8967375E-03,-143.9493769E-03,+2.5528030505E+00,+23.8639642E-03
+5.8971250E-03,-1.2401443016E+00,+2.5528030505E+00,+3.1302303E-03
+5.8975125E-03,-1.2401443016E+00,+2.5528030505E+00,-25.5267641E-03
+5.8979000E-03,-560.7420557E-03,+2.5528030505E+00,-25.3439701E-03
+5.8982875E-03,+665.6358895E-03,+2.5528030505E+00,-6.0664081E-03
+5.8986750E-03,+884.9908272E-03,+2.5528030505E+00,+24.5896187E-03
+5.8990625E-03,+76.8650761E-03,+2.5528030505E+00,+25.5274226E-03
+5.8994500E-03,-1.1876943001E+00,+2.5528030505E+00,+7.9293012E-03
+5.8998375E-03,-1.2401443016E+00,+2.5528030505E+00,-22.0984330E-03
