File_Num,Vin_mV,A0_mV,Gain_A0_Vin,tau_ms,Q_factor,fs_rd_Hz,R2_fit
49,80.0,11.035,0.1379,2.5040,3286.6,417790.88,0.98651
51,120.0,16.192,0.1349,2.5714,3375.0,417789.66,0.99143
52,160.0,22.498,0.1406,2.4501,3215.9,417788.53,0.99171
53,200.0,27.456,0.1373,2.4110,3164.5,417787.57,0.99552
54,240.0,31.922,0.1330,2.4241,3181.7,417787.91,0.99691
55,280.0,36.353,0.1298,2.4135,3167.8,417787.35,0.99711
56,340.0,41.106,0.1209,2.3590,3096.2,417785.56,0.99842
57,420.0,46.612,0.1110,2.3250,3051.6,417786.04,0.99879
58,500.0,49.783,0.0996,2.3045,3024.6,417784.07,0.99910
59,600.0,54.142,0.0902,2.3109,3033.1,417781.57,0.99935
60,700.0,59.827,0.0855,2.3109,3033.0,417778.02,0.99926
61,800.0,66.134,0.0827,2.2998,3018.4,417775.58,0.99950
62,900.0,72.466,0.0805,2.3084,3029.7,417772.62,0.99965
63,1000.0,78.559,0.0786,2.2948,3011.8,417769.94,0.99989
64,1200.0,86.908,0.0724,2.2689,2977.8,417765.41,0.99996
65,1500.0,90.882,0.0606,2.2604,2966.7,417764.98,0.99989
66,2000.0,101.403,0.0507,2.2351,2933.4,417760.77,0.99984
