x-axis,1,2,3
second,Volt,Volt,Volt
+5.02361000E-03,,,
+5.02362000E-03,,,
+5.02363000E-03,+833.62122022E-03,+3.17633727777E+00,+255.28030505E-03
+5.02364000E-03,+833.62122022E-03,+3.17429582051E+00,+255.28030505E-03
+5.02365000E-03,+833.62122022E-03,+3.17005587081E+00,+255.28030505E-03
+5.02366000E-03,+833.62122022E-03,+3.16094783070E+00,+255.28030505E-03
+5.02367000E-03,+833.62122022E-03,+3.16738627284E+00,+255.28030505E-03
+5.02368000E-03,+833.62122022E-03,+3.17272546876E+00,+255.28030505E-03
+5.02369000E-03,+833.62122022E-03,+3.17084104668E+00,+255.28030505E-03
+5.02370000E-03,+833.62122022E-03,+3.16016265483E+00,+255.28030505E-03
+5.02371000E-03,+833.62122022E-03,+3.16864255423E+00,+255.28030505E-03
+5.02372000E-03,+833.62122022E-03,+3.16675813214E+00,+255.28030505E-03
+5.02373000E-03,+833.62122022E-03,+3.17068401150E+00,+255.28030505E-03
+5.02374000E-03,+833.62122022E-03,+3.16503074523E+00,+255.28030505E-03
+5.02375000E-03,+833.62122022E-03,+3.17146918737E+00,+255.28030505E-03
+5.02376000E-03,+833.62122022E-03,+3.17036994115E+00,+255.28030505E-03
+5.02377000E-03,+833.62122022E-03,+3.17382471499E+00,+255.28030505E-03
+5.02378000E-03,+833.62122022E-03,+3.16503074523E+00,+255.28030505E-03
+5.02379000E-03,+833.62122022E-03,+3.17460989085E+00,+255.28030505E-03
+5.02380000E-03,+833.62122022E-03,+3.16974180045E+00,+255.28030505E-03
+5.02381000E-03,+833.62122022E-03,+3.17068401150E+00,+255.28030505E-03
+5.02382000E-03,+833.62122022E-03,+3.16471667488E+00,+255.28030505E-03
+5.02383000E-03,+833.62122022E-03,+3.17209732806E+00,+255.28030505E-03
+5.02384000E-03,+833.62122022E-03,+3.16785737836E+00,+255.28030505E-03
+5.02385000E-03,+833.62122022E-03,+3.17413878533E+00,+255.28030505E-03
+5.02386000E-03,+833.62122022E-03,+3.16722923767E+00,+255.28030505E-03
+5.02387000E-03,+833.62122022E-03,+3.16942773010E+00,+255.28030505E-03
+5.02388000E-03,+833.62122022E-03,+3.17335360946E+00,+255.28030505E-03
+5.02389000E-03,+833.62122022E-03,+3.17822169986E+00,+255.28030505E-03
+5.02390000E-03,+833.62122022E-03,+3.16550185075E+00,+255.28030505E-03
+5.02391000E-03,+833.62122022E-03,+3.17005587080E+00,+255.28030505E-03
+5.02392000E-03,+833.62122022E-03,+3.17398175015E+00,+255.28030505E-03
+5.02393000E-03,+833.62122022E-03,+3.17351064464E+00,+255.28030505E-03
+5.02394000E-03,+833.62122022E-03,+3.16660109696E+00,+255.28030505E-03
+5.02395000E-03,+833.62122022E-03,+3.16958476527E+00,+255.28030505E-03
+5.02396000E-03,+833.62122022E-03,+3.16989883562E+00,+255.28030505E-03
+5.02397000E-03,+833.62122022E-03,+3.16832848389E+00,+255.28030505E-03
+5.02398000E-03,+833.62122022E-03,+3.16220411209E+00,+255.28030505E-03
+5.02399000E-03,+833.62122022E-03,+3.16958476527E+00,+255.28030505E-03
+5.02400000E-03,+832.77323028E-03,+3.16942773011E+00,+255.28030505E-03
+5.02401000E-03,+613.04961462E-03,+3.17319657430E+00,+255.28030505E-03
+5.02402000E-03,+303.31343704E-03,+3.16597295627E+00,+255.28030505E-03
+5.02403000E-03,+8.65263617E-03,+3.17256843358E+00,+255.28030505E-03
+5.02404000E-03,-229.34987387E-03,+3.17335360945E+00,+255.28030505E-03
+5.02405000E-03,-382.05087728E-03,+3.17225436325E+00,+255.28030505E-03
+5.02406000E-03,-472.22047429E-03,+3.16707220249E+00,+255.28030505E-03
+5.02407000E-03,-766.34735551E-03,+3.16707220250E+00,+255.28030505E-03
+5.02408000E-03,-1.04379710129E+00,+3.16503074522E+00,+255.28030505E-03
+5.02409000E-03,-1.20858981318E+00,+3.16691516732E+00,+255.28030505E-03
+5.02410000E-03,-1.20858981318E+00,+3.16110486588E+00,+255.28030505E-03
+5.02411000E-03,-1.20858981318E+00,+3.16864255423E+00,+255.28030505E-03
+5.02412000E-03,-1.20858981318E+00,+3.16612999143E+00,+255.28030505E-03
+5.02413000E-03,-1.20858981318E+00,+3.16895662459E+00,+255.28030505E-03
+5.02414000E-03,-1.20858981318E+00,+3.16361742867E+00,+255.28030505E-03
+5.02415000E-03,-1.20858981318E+00,+3.17413878533E+00,+255.28030505E-03
+5.02416000E-03,-1.20858981318E+00,+3.16895662457E+00,+255.28030505E-03
+5.02417000E-03,-1.20858981318E+00,+3.17052697633E+00,+255.28030505E-03
+5.02418000E-03,-1.20858981318E+00,+3.16063376035E+00,+255.28030505E-03
+5.02419000E-03,-1.20858981318E+00,+3.17084104667E+00,+255.28030505E-03
+5.02420000E-03,-1.20858981318E+00,+3.16801441354E+00,+255.28030505E-03
+5.02421000E-03,-1.20858981318E+00,+3.17586617225E+00,+255.28030505E-03
