x-axis,1,2,3
second,Volt,Volt,Volt
+5.9660000E-03,+91.6840919E-03,+3.1529390368E+00,+78.9926185E-03
+5.9661250E-03,+91.6840919E-03,+3.1527820016E+00,+91.4298043E-03
+5.9662500E-03,+91.6840919E-03,+3.1530960720E+00,+93.5968897E-03
+5.9663750E-03,+3.9524660E-03,+3.1519968258E+00,+85.1012868E-03
+5.9665000E-03,-61.4817356E-03,+3.1523108961E+00,+66.8537995E-03
+5.9666250E-03,-61.4817356E-03,+3.1532531072E+00,+40.0400435E-03
+5.9667500E-03,-61.4817356E-03,+3.1519968258E+00,+9.1904836E-03
+5.9668750E-03,-61.4817356E-03,+3.1515257202E+00,-23.1195035E-03
+5.9670000E-03,-61.4817356E-03,+3.1521538609E+00,-54.0161740E-03
+5.9671250E-03,-61.4817356E-03,+3.1523108961E+00,-79.7463873E-03
+5.9672500E-03,-61.4817356E-03,+3.1521538609E+00,-98.1430580E-03
+5.9673750E-03,-61.4817356E-03,+3.1521538609E+00,-106.1754072E-03
+5.9675000E-03,-54.8367922E-03,+3.1526249665E+00,-103.6863996E-03
+5.9676250E-03,+82.3891800E-03,+3.1529390368E+00,-90.4797415E-03
+5.9677500E-03,+91.6840919E-03,+3.1535671775E+00,-68.6440005E-03
+5.9678750E-03,+91.6840919E-03,+3.1529390368E+00,-40.0478953E-03
+5.9680000E-03,+91.6840919E-03,+3.1532531072E+00,-8.0990891E-03
+5.9681250E-03,+91.6840919E-03,+3.1527820016E+00,+23.9125312E-03
+5.9682500E-03,+91.6840919E-03,+3.1529390368E+00,+53.7806213E-03
+5.9683750E-03,+91.6840919E-03,+3.1526249665E+00,+76.5036110E-03
+5.9685000E-03,+91.6840919E-03,+3.1529390368E+00,+90.3148546E-03
+5.9686250E-03,+91.6840919E-03,+3.1529390368E+00,+93.9423671E-03
+5.9687500E-03,+26.5160650E-03,+3.1521538609E+00,+86.9150430E-03
+5.9688750E-03,-61.4817356E-03,+3.1516827554E+00,+69.9238372E-03
+5.9690000E-03,-61.4817356E-03,+3.1524679313E+00,+44.9395410E-03
+5.9691250E-03,-61.4817356E-03,+3.1518397906E+00,+14.6081971E-03
+5.9692500E-03,-61.4817356E-03,+3.1523108961E+00,-18.6518528E-03
+5.9693750E-03,-61.4817356E-03,+3.1527820016E+00,-49.9568148E-03
+5.9695000E-03,-61.4817356E-03,+3.1521538609E+00,-76.6056839E-03
+5.9696250E-03,-61.4817356E-03,+3.1523108961E+00,-96.2664877E-03
+5.9697500E-03,-61.4817356E-03,+3.1519968258E+00,-105.6807464E-03
+5.9698750E-03,-60.6313901E-03,+3.1521538609E+00,-104.6443142E-03
+5.9700000E-03,+66.9180746E-03,+3.1527820016E+00,-93.4398545E-03
+5.9701250E-03,+91.6840919E-03,+3.1537242127E+00,-72.9075055E-03
+5.9702500E-03,+91.6840919E-03,+3.1532531072E+00,-44.3192520E-03
+5.9703750E-03,+91.6840919E-03,+3.1532531072E+00,-12.6138504E-03
+5.9705000E-03,+91.6840919E-03,+3.1530960720E+00,+19.5548051E-03
+5.9706250E-03,+91.6840919E-03,+3.1524679313E+00,+50.0981464E-03
+5.9707500E-03,+91.6840919E-03,+3.1521538609E+00,+73.8811236E-03
+5.9708750E-03,+91.6840919E-03,+3.1532531072E+00,+88.9722038E-03
+5.9710000E-03,+91.6840919E-03,+3.1526249665E+00,+94.1622163E-03
+5.9711250E-03,+50.7144002E-03,+3.1519968258E+00,+88.7759099E-03
+5.9712500E-03,-61.4817356E-03,+3.1519968258E+00,+72.7740256E-03
