"# Analisi Frequenza fs, Tensione Residua V_post e Ampiezza A0 vs Burst Phase"
fase_deg,V_post_mV,fs_ringdown_Hz,Delta_fs_Hz,A0_mV
-180.00,-3.50,417793.208,-18.048,18.84
-175.00,-11.66,417792.018,-19.238,18.71
-170.00,-20.98,417791.348,-19.908,18.62
-165.00,-29.15,417791.886,-19.370,18.81
-160.00,-38.47,417791.204,-20.052,18.74
-155.00,-46.63,417790.541,-20.715,18.63
-150.00,-53.63,417789.889,-21.367,18.61
-145.00,-61.79,417788.635,-22.621,18.26
-140.00,-68.78,417788.377,-22.879,18.20
-135.00,-74.61,417788.448,-22.808,18.39
-130.00,-80.44,417787.310,-23.946,18.08
-125.00,-86.27,417786.149,-25.107,17.86
-120.00,-90.93,417785.853,-25.403,17.85
-115.00,-94.43,417785.624,-25.632,17.83
-110.00,-97.93,417785.408,-25.848,17.82
-105.00,-100.26,417785.259,-25.997,17.82
-100.00,-102.59,417787.041,-24.215,18.10
-95.00,-103.76,417786.568,-24.688,18.15
-90.00,-103.76,417788.294,-22.962,18.25
-85.00,-103.76,417789.427,-21.829,18.48
-80.00,-102.59,417791.176,-20.080,18.71
-75.00,-100.26,417793.224,-18.032,19.00
-70.00,-97.93,417793.533,-17.723,19.03
-65.00,-94.43,417793.199,-18.057,18.97
-60.00,-90.93,417792.745,-18.511,18.84
-55.00,-86.27,417792.432,-18.824,18.75
-50.00,-80.44,417791.572,-19.684,18.61
-45.00,-74.61,417790.698,-20.558,18.48
-40.00,-68.78,417792.730,-18.526,18.76
-35.00,-61.79,417795.168,-16.088,19.28
-30.00,-53.63,417797.155,-14.101,19.57
-25.00,-46.63,417799.596,-11.660,19.94
-20.00,-38.47,417803.135,-8.121,20.42
-15.00,-29.15,417805.481,-5.775,20.73
-10.00,-20.98,417809.449,-1.807,21.34
-5.00,-11.66,417813.276,+2.020,21.89
+0.00,-3.50,417816.590,+5.334,22.35
+5.00,+4.66,417820.059,+8.803,22.85
+10.00,+12.82,417823.499,+12.243,23.34
+15.00,+21.02,417824.346,+13.090,23.47
+20.00,+30.31,417824.665,+13.409,23.49
+25.00,+38.47,417824.620,+13.364,23.47
+30.00,+45.49,417824.269,+13.013,23.41
+35.00,+53.63,417823.409,+12.153,23.30
+40.00,+60.62,417822.028,+10.772,23.08
+45.00,+66.45,417820.425,+9.169,22.85
+50.00,+72.28,417818.853,+7.597,22.62
+55.00,+78.11,417819.693,+8.437,22.72
+60.00,+82.77,417821.322,+10.066,22.95
+65.00,+86.42,417823.206,+11.950,23.27
+70.00,+89.77,417825.975,+14.719,23.65
+75.00,+93.27,417828.497,+17.241,23.99
+80.00,+94.43,417830.876,+19.620,24.30
+85.00,+95.60,417833.977,+22.721,24.73
+90.00,+96.76,417836.942,+25.686,25.10
+95.00,+95.60,417839.396,+28.140,25.42
+100.00,+94.43,417840.453,+29.197,25.58
+105.00,+93.27,417840.293,+29.037,25.55
+110.00,+89.77,417839.835,+28.579,25.50
+115.00,+86.43,417838.192,+26.936,25.43
+120.00,+82.77,417836.434,+25.178,25.26
+125.00,+78.11,417834.574,+23.318,25.01
+130.00,+72.28,417832.133,+20.877,24.70
+135.00,+66.45,417829.417,+18.161,24.34
+140.00,+60.62,417828.261,+17.005,24.16
+145.00,+53.63,417829.264,+18.008,24.28
+150.00,+45.47,417829.411,+18.155,24.35
+155.00,+38.47,417830.498,+19.242,24.48
+160.00,+30.31,417832.453,+21.197,24.77
+165.00,+21.01,417834.108,+22.852,25.04
+170.00,+12.82,417836.746,+25.490,25.40
+175.00,+4.66,417839.482,+28.226,25.78
+180.00,-3.50,417840.428,+29.172,25.88
