# Riepilogo Sweep Burst Phase Agilent 33220A + MSO-X 3014A - 20260923_115041
"# Range: -180.0° a 180.0°, passo: 5.0°, medie: 2048, campioni_csv: 10000"
step,phase_set_deg,vpp_ch1_mV,vpp_ch3_mV,gain_linear,phase_meas_deg,points_ch1,points_ch3,csv_file,png_file
1,-180.00,nan,192.40,nan,nan,8000,8000,traccia_fase_-180.0deg.csv,
2,-175.00,nan,192.30,nan,nan,8000,8000,traccia_fase_-175.0deg.csv,
3,-170.00,nan,192.30,nan,nan,8000,8000,traccia_fase_-170.0deg.csv,
4,-165.00,nan,192.30,nan,nan,8000,8000,traccia_fase_-165.0deg.csv,
5,-160.00,nan,192.30,nan,nan,8000,8000,traccia_fase_-160.0deg.csv,
6,-155.00,nan,192.30,nan,nan,8000,8000,traccia_fase_-155.0deg.csv,
7,-150.00,nan,192.30,nan,nan,8000,8000,traccia_fase_-150.0deg.csv,
8,-145.00,nan,192.20,nan,nan,8000,8000,traccia_fase_-145.0deg.csv,
9,-140.00,nan,192.30,nan,nan,8000,8000,traccia_fase_-140.0deg.csv,
10,-135.00,nan,192.30,nan,nan,8000,8000,traccia_fase_-135.0deg.csv,
11,-130.00,nan,192.30,nan,nan,8000,8000,traccia_fase_-130.0deg.csv,
12,-125.00,nan,192.40,nan,nan,8000,8000,traccia_fase_-125.0deg.csv,
13,-120.00,nan,192.30,nan,nan,8000,8000,traccia_fase_-120.0deg.csv,
14,-115.00,nan,192.30,nan,nan,8000,8000,traccia_fase_-115.0deg.csv,
15,-110.00,nan,192.30,nan,nan,8000,8000,traccia_fase_-110.0deg.csv,
16,-105.00,nan,193.50,nan,nan,8000,8000,traccia_fase_-105.0deg.csv,
17,-100.00,nan,195.40,nan,nan,8000,8000,traccia_fase_-100.0deg.csv,
18,-95.00,nan,196.50,nan,nan,8000,8000,traccia_fase_-95.0deg.csv,
19,-90.00,nan,196.90,nan,nan,8000,8000,traccia_fase_-90.0deg.csv,
20,-85.00,nan,196.50,nan,nan,8000,8000,traccia_fase_-85.0deg.csv,
21,-80.00,nan,195.30,nan,nan,8000,8000,traccia_fase_-80.0deg.csv,
22,-75.00,nan,193.60,nan,nan,8000,8000,traccia_fase_-75.0deg.csv,
23,-70.00,nan,192.40,nan,nan,8000,8000,traccia_fase_-70.0deg.csv,
24,-65.00,nan,192.30,nan,nan,8000,8000,traccia_fase_-65.0deg.csv,
25,-60.00,nan,192.40,nan,nan,8000,8000,traccia_fase_-60.0deg.csv,
