# Risultati Analisi Ringdown vs Burst Phase
fase_deg,tau_ms,A0_mV,Q_factor,R2,offset_mV,file_csv
-180.00,2.4825,21.124,3258.4,0.99654,-0.722,traccia_fase_-180.0deg.csv
-175.00,2.5149,20.993,3300.9,0.99460,-0.810,traccia_fase_-175.0deg.csv
-170.00,2.5286,20.877,3318.9,0.99294,-0.846,traccia_fase_-170.0deg.csv
-165.00,2.5689,21.165,3371.8,0.99076,-0.986,traccia_fase_-165.0deg.csv
-160.00,2.5944,21.066,3405.2,0.98832,-1.047,traccia_fase_-160.0deg.csv
-155.00,2.6346,21.007,3458.1,0.98515,-1.156,traccia_fase_-155.0deg.csv
-150.00,2.6418,20.983,3467.5,0.98360,-1.183,traccia_fase_-150.0deg.csv
-145.00,2.6453,20.622,3472.1,0.98262,-1.187,traccia_fase_-145.0deg.csv
-140.00,2.6484,20.585,3476.2,0.98258,-1.188,traccia_fase_-140.0deg.csv
-135.00,2.6199,20.717,3438.8,0.98373,-1.111,traccia_fase_-135.0deg.csv
-130.00,2.5933,20.345,3403.9,0.98626,-1.014,traccia_fase_-130.0deg.csv
-125.00,2.5836,20.150,3391.2,0.98899,-0.987,traccia_fase_-125.0deg.csv
-120.00,2.5339,20.064,3325.9,0.99111,-0.846,traccia_fase_-120.0deg.csv
-115.00,2.5039,20.019,3286.5,0.99403,-0.754,traccia_fase_-115.0deg.csv
-110.00,2.3625,19.976,3100.9,0.99954,-0.370,traccia_fase_-110.0deg.csv
-105.00,2.3869,20.026,3133.0,0.99940,-0.461,traccia_fase_-105.0deg.csv
-100.00,2.4109,20.337,3164.5,0.99863,-0.514,traccia_fase_-100.0deg.csv
-95.00,2.4313,20.399,3191.2,0.99788,-0.578,traccia_fase_-95.0deg.csv
-90.00,2.4520,20.519,3218.4,0.99731,-0.629,traccia_fase_-90.0deg.csv
-85.00,2.4962,20.793,3276.4,0.99554,-0.768,traccia_fase_-85.0deg.csv
-80.00,2.5138,21.054,3299.4,0.99418,-0.818,traccia_fase_-80.0deg.csv
-75.00,2.5573,21.428,3356.6,0.99203,-0.963,traccia_fase_-75.0deg.csv
-70.00,2.5975,21.497,3409.3,0.98975,-1.076,traccia_fase_-70.0deg.csv
-65.00,2.6203,21.437,3439.3,0.98696,-1.142,traccia_fase_-65.0deg.csv
-60.00,2.6588,21.333,3489.9,0.98423,-1.249,traccia_fase_-60.0deg.csv
-55.00,2.6585,21.208,3489.4,0.98369,-1.232,traccia_fase_-55.0deg.csv
-50.00,2.6373,21.008,3461.6,0.98421,-1.161,traccia_fase_-50.0deg.csv
-45.00,2.6349,20.890,3458.5,0.98489,-1.157,traccia_fase_-45.0deg.csv
-40.00,2.6255,21.166,3446.1,0.98681,-1.138,traccia_fase_-40.0deg.csv
-35.00,2.3915,21.666,3139.0,0.99977,-0.455,traccia_fase_-35.0deg.csv
-30.00,2.4561,21.998,3223.8,0.99854,-0.657,traccia_fase_-30.0deg.csv
-25.00,2.5058,22.423,3289.0,0.99729,-0.815,traccia_fase_-25.0deg.csv
-20.00,2.5576,23.006,3357.0,0.99588,-0.977,traccia_fase_-20.0deg.csv
-15.00,2.5911,23.383,3401.0,0.99405,-1.081,traccia_fase_-15.0deg.csv
-10.00,2.6539,24.147,3483.4,0.99117,-1.313,traccia_fase_-10.0deg.csv
-5.00,2.7327,24.865,3586.9,0.98797,-1.590,traccia_fase_-5.0deg.csv
+0.00,2.7912,25.467,3663.7,0.98392,-1.800,traccia_fase_+0.0deg.csv
+5.00,2.8235,26.081,3706.0,0.98204,-1.933,traccia_fase_+5.0deg.csv
+10.00,2.8724,26.741,3770.2,0.98040,-2.144,traccia_fase_+10.0deg.csv
+15.00,2.8805,26.867,3780.8,0.97977,-2.162,traccia_fase_+15.0deg.csv
+20.00,2.8725,26.898,3770.3,0.98075,-2.143,traccia_fase_+20.0deg.csv
+25.00,2.8697,26.866,3766.7,0.98107,-2.136,traccia_fase_+25.0deg.csv
+30.00,2.8454,26.776,3734.7,0.98386,-2.042,traccia_fase_+30.0deg.csv
+35.00,2.8038,26.553,3680.2,0.98545,-1.882,traccia_fase_+35.0deg.csv
+40.00,2.7803,26.268,3649.3,0.98747,-1.790,traccia_fase_+40.0deg.csv
+45.00,2.7530,25.949,3613.5,0.98865,-1.683,traccia_fase_+45.0deg.csv
+50.00,2.7127,25.662,3560.5,0.99099,-1.541,traccia_fase_+50.0deg.csv
+55.00,2.6883,25.748,3528.5,0.99271,-1.454,traccia_fase_+55.0deg.csv
+60.00,2.6702,25.987,3504.9,0.99476,-1.390,traccia_fase_+60.0deg.csv
+65.00,2.6510,26.330,3479.6,0.99608,-1.342,traccia_fase_+65.0deg.csv
+70.00,2.7150,26.866,3563.7,0.99349,-1.589,traccia_fase_+70.0deg.csv
+75.00,2.7541,27.281,3614.9,0.99195,-1.729,traccia_fase_+75.0deg.csv
+80.00,2.8097,27.737,3687.9,0.98913,-1.948,traccia_fase_+80.0deg.csv
+85.00,2.8512,28.287,3742.4,0.98712,-2.121,traccia_fase_+85.0deg.csv
+90.00,2.9090,28.816,3818.2,0.98541,-2.352,traccia_fase_+90.0deg.csv
+95.00,2.9304,29.251,3846.3,0.98561,-2.469,traccia_fase_+95.0deg.csv
+100.00,2.9397,29.428,3858.5,0.98509,-2.499,traccia_fase_+100.0deg.csv
+105.00,2.9395,29.409,3858.3,0.98499,-2.506,traccia_fase_+105.0deg.csv
+110.00,2.9237,29.318,3837.5,0.98595,-2.440,traccia_fase_+110.0deg.csv
+115.00,2.8876,29.188,3790.2,0.98785,-2.319,traccia_fase_+115.0deg.csv
+120.00,2.8539,28.916,3746.0,0.98883,-2.183,traccia_fase_+120.0deg.csv
+125.00,2.8157,28.544,3695.8,0.98985,-2.009,traccia_fase_+125.0deg.csv
+130.00,2.7899,28.159,3661.9,0.99131,-1.918,traccia_fase_+130.0deg.csv
+135.00,2.7637,27.748,3627.6,0.99293,-1.815,traccia_fase_+135.0deg.csv
+140.00,2.7212,27.460,3571.7,0.99372,-1.632,traccia_fase_+140.0deg.csv
+145.00,2.6191,27.515,3437.7,0.99868,-1.237,traccia_fase_+145.0deg.csv
+150.00,2.5947,27.546,3405.7,0.99911,-1.160,traccia_fase_+150.0deg.csv
+155.00,2.6190,27.716,3437.6,0.99870,-1.263,traccia_fase_+155.0deg.csv
+160.00,2.6598,28.132,3491.2,0.99808,-1.428,traccia_fase_+160.0deg.csv
+165.00,2.7006,28.482,3544.7,0.99689,-1.574,traccia_fase_+165.0deg.csv
+170.00,2.7622,28.970,3625.6,0.99422,-1.823,traccia_fase_+170.0deg.csv
+175.00,2.8348,29.508,3720.8,0.99165,-2.121,traccia_fase_+175.0deg.csv
+180.00,2.8963,29.751,3801.5,0.98841,-2.368,traccia_fase_+180.0deg.csv
