"# Risultati Analisi Ringdown Accurata (Picchi Reali, Blanking 100 us)"
fase_deg,tau_ms,A0_mV,Q_factor,R2,file_csv
-180.00,2.2329,18.845,2930.8,0.95501,traccia_fase_-180.0deg.csv
-175.00,2.2338,18.714,2932.1,0.95537,traccia_fase_-175.0deg.csv
-170.00,2.2330,18.617,2931.0,0.95410,traccia_fase_-170.0deg.csv
-165.00,2.2316,18.813,2929.1,0.95490,traccia_fase_-165.0deg.csv
-160.00,2.2317,18.735,2929.2,0.95459,traccia_fase_-160.0deg.csv
-155.00,2.2337,18.631,2931.9,0.95461,traccia_fase_-155.0deg.csv
-150.00,2.2310,18.607,2928.3,0.95522,traccia_fase_-150.0deg.csv
-145.00,2.2299,18.261,2926.9,0.95486,traccia_fase_-145.0deg.csv
-140.00,2.2311,18.205,2928.5,0.95443,traccia_fase_-140.0deg.csv
-135.00,2.2269,18.385,2922.9,0.95460,traccia_fase_-135.0deg.csv
-130.00,2.2282,18.082,2924.7,0.95469,traccia_fase_-130.0deg.csv
-125.00,2.2286,17.864,2925.2,0.95462,traccia_fase_-125.0deg.csv
-120.00,2.2212,17.845,2915.5,0.95460,traccia_fase_-120.0deg.csv
-115.00,2.2349,17.834,2933.4,0.95449,traccia_fase_-115.0deg.csv
-110.00,2.2283,17.815,2924.7,0.95482,traccia_fase_-110.0deg.csv
-105.00,2.2219,17.816,2916.4,0.95505,traccia_fase_-105.0deg.csv
-100.00,2.2273,18.103,2923.5,0.95545,traccia_fase_-100.0deg.csv
-95.00,2.2254,18.154,2921.0,0.95452,traccia_fase_-95.0deg.csv
-90.00,2.2307,18.249,2927.9,0.95490,traccia_fase_-90.0deg.csv
-85.00,2.2324,18.475,2930.2,0.95455,traccia_fase_-85.0deg.csv
-80.00,2.2332,18.711,2931.2,0.95493,traccia_fase_-80.0deg.csv
-75.00,2.2361,18.996,2935.0,0.95448,traccia_fase_-75.0deg.csv
-70.00,2.2391,19.033,2938.9,0.95498,traccia_fase_-70.0deg.csv
-65.00,2.2407,18.968,2941.0,0.95520,traccia_fase_-65.0deg.csv
-60.00,2.2368,18.836,2935.9,0.95483,traccia_fase_-60.0deg.csv
-55.00,2.2398,18.748,2939.8,0.95485,traccia_fase_-55.0deg.csv
-50.00,2.2356,18.606,2934.4,0.95557,traccia_fase_-50.0deg.csv
-45.00,2.2352,18.484,2933.9,0.95425,traccia_fase_-45.0deg.csv
-40.00,2.2369,18.758,2936.0,0.95519,traccia_fase_-40.0deg.csv
-35.00,2.2410,19.279,2941.5,0.95471,traccia_fase_-35.0deg.csv
-30.00,2.2449,19.572,2946.5,0.95522,traccia_fase_-30.0deg.csv
-25.00,2.2473,19.936,2949.8,0.95485,traccia_fase_-25.0deg.csv
-20.00,2.2585,20.419,2964.4,0.95441,traccia_fase_-20.0deg.csv
-15.00,2.2644,20.726,2972.1,0.95556,traccia_fase_-15.0deg.csv
-10.00,2.2715,21.342,2981.4,0.95499,traccia_fase_-10.0deg.csv
-5.00,2.2827,21.888,2996.2,0.95448,traccia_fase_-5.0deg.csv
+0.00,2.2930,22.347,3009.7,0.95484,traccia_fase_+0.0deg.csv
+5.00,2.3003,22.848,3019.3,0.95448,traccia_fase_+5.0deg.csv
+10.00,2.3078,23.341,3029.1,0.95424,traccia_fase_+10.0deg.csv
+15.00,2.3135,23.467,3036.6,0.95406,traccia_fase_+15.0deg.csv
+20.00,2.3099,23.494,3031.9,0.95428,traccia_fase_+20.0deg.csv
+25.00,2.3077,23.475,3029.0,0.95460,traccia_fase_+25.0deg.csv
+30.00,2.3094,23.406,3031.2,0.95405,traccia_fase_+30.0deg.csv
+35.00,2.3039,23.304,3024.0,0.95441,traccia_fase_+35.0deg.csv
+40.00,2.3008,23.078,3020.0,0.95503,traccia_fase_+40.0deg.csv
+45.00,2.2949,22.851,3012.2,0.95412,traccia_fase_+45.0deg.csv
+50.00,2.2944,22.616,3011.5,0.95462,traccia_fase_+50.0deg.csv
+55.00,2.2932,22.717,3010.0,0.95473,traccia_fase_+55.0deg.csv
+60.00,2.3006,22.952,3019.7,0.95462,traccia_fase_+60.0deg.csv
+65.00,2.2989,23.270,3017.4,0.95481,traccia_fase_+65.0deg.csv
+70.00,2.3042,23.650,3024.4,0.95463,traccia_fase_+70.0deg.csv
+75.00,2.3123,23.989,3035.1,0.95452,traccia_fase_+75.0deg.csv
+80.00,2.3201,24.305,3045.3,0.95473,traccia_fase_+80.0deg.csv
+85.00,2.3264,24.730,3053.6,0.95490,traccia_fase_+85.0deg.csv
+90.00,2.3349,25.099,3064.7,0.95379,traccia_fase_+90.0deg.csv
