# Forma d'onda Burst Phase Agilent 33220A = 175.000 deg
"# Medie: 512, Campioni: 8000, CH1: Vout, CH3: Vin"
tempo_s,tensione_CH1_Vout_V,tensione_CH3_Vin_V
-4.687500000e-05,-2.613065e-02,-3.031155e-02
-4.625000000e-05,9.246230e-03,8.976883e-02
-4.562500000e-05,2.170854e-02,9.326632e-03
-4.500000000e-05,-1.366834e-02,-9.909546e-02
-4.437500000e-05,-2.412060e-02,-3.497487e-03
-4.375000000e-05,1.768844e-02,9.093466e-02
-4.312500000e-05,1.608040e-02,-1.632161e-02
-4.250000000e-05,-1.768844e-02,-9.676381e-02
-4.187500000e-05,-2.010050e-02,2.215075e-02
-4.125000000e-05,2.331658e-02,8.627135e-02
-4.062500000e-05,1.005025e-02,-4.313567e-02
-4.000000000e-05,-2.211055e-02,-8.860300e-02
-3.937500000e-05,-1.407035e-02,4.663316e-02
-3.875000000e-05,2.693467e-02,7.344723e-02
-3.812500000e-05,2.412060e-03,-6.528642e-02
-3.750000000e-05,-2.452261e-02,-7.228140e-02
-3.687500000e-05,-6.834170e-03,6.761808e-02
-3.625000000e-05,2.773869e-02,5.479396e-02
-3.562500000e-05,-4.020100e-03,-8.277386e-02
-3.500000000e-05,-2.613065e-02,-5.129648e-02
-3.437500000e-05,1.206030e-03,8.160803e-02
-3.375000000e-05,2.532663e-02,3.147738e-02
-3.312500000e-05,-9.246230e-03,-9.443215e-02
-3.250000000e-05,-2.693467e-02,-2.564824e-02
-3.187500000e-05,1.045226e-02,8.976883e-02
-3.125000000e-05,2.090452e-02,4.663316e-03
-3.062500000e-05,-1.366834e-02,-9.909546e-02
-3.000000000e-05,-2.291457e-02,0.000000e+00
-2.937500000e-05,1.849246e-02,9.093466e-02
-2.875000000e-05,1.487437e-02,-2.098492e-02
-2.812500000e-05,-1.929648e-02,-9.676381e-02
-2.750000000e-05,-1.889447e-02,2.564824e-02
-2.687500000e-05,2.492462e-02,8.393969e-02
-2.625000000e-05,8.844220e-03,-4.663316e-02
-2.562500000e-05,-2.251256e-02,-8.627135e-02
-2.500000000e-05,-1.326633e-02,5.013065e-02
-2.437500000e-05,2.773869e-02,7.111557e-02
-2.375000000e-05,1.608040e-03,-6.878391e-02
-2.312500000e-05,-2.492462e-02,-6.994974e-02
-2.250000000e-05,-4.422110e-03,6.994974e-02
-2.187500000e-05,2.854271e-02,5.129648e-02
-2.125000000e-05,-4.422110e-03,-8.510552e-02
