"# Sweep Burst Phase - Misura Vmax, Vmin e Picco CH1 - 20260923_131303"
"# Range: -180.0° a 180.0°, passo: 2.0°, medie: 64"
step,phase_deg,Vmax_mV,Vmin_mV,A_peak_mV,Vpp_mV
1,-180.00,981.000,-551.000,981.000,1532.000
2,-178.00,965.000,-560.000,965.000,1525.000
3,-176.00,953.000,-573.000,953.000,1526.000
4,-174.00,936.000,-591.000,936.000,1527.000
5,-172.00,922.000,-601.000,922.000,1523.000
6,-170.00,902.000,-619.000,902.000,1521.000
7,-168.00,888.000,-631.000,888.000,1519.000
8,-166.00,869.000,-646.000,869.000,1515.000
9,-164.00,850.000,-658.000,850.000,1508.000
10,-162.00,821.000,-675.000,821.000,1496.000
11,-160.00,799.000,-686.000,799.000,1485.000
12,-158.00,785.000,-699.000,785.000,1484.000
13,-156.00,752.000,-711.000,752.000,1464.000
14,-154.00,733.000,-721.000,733.000,1454.000
15,-152.00,706.000,-723.000,723.000,1429.000
16,-150.00,682.000,-737.000,737.000,1418.000
17,-148.00,653.000,-749.000,749.000,1403.000
18,-146.00,630.000,-763.000,763.000,1393.000
19,-144.00,599.000,-766.000,766.000,1365.000
20,-142.00,578.000,-771.000,771.000,1349.000
21,-140.00,544.000,-782.000,782.000,1326.000
22,-138.00,516.000,-791.000,791.000,1308.000
23,-136.00,487.000,-794.000,794.000,1281.000
24,-134.00,451.000,-795.000,795.000,1246.000
25,-132.00,425.000,-798.000,798.000,1224.000
26,-130.00,400.000,-807.000,807.000,1207.000
27,-128.00,361.000,-816.000,816.000,1177.000
28,-126.00,333.000,-818.000,818.000,1151.000
29,-124.00,304.000,-816.000,816.000,1120.000
30,-122.00,273.000,-816.000,816.000,1090.000
31,-120.00,241.000,-823.000,823.000,1064.000
32,-118.00,215.000,-827.000,827.000,1042.000
33,-116.00,182.000,-826.000,826.000,1009.000
34,-114.00,151.000,-828.000,828.000,979.000
35,-112.00,123.000,-826.000,826.000,949.000
36,-110.00,114.000,-822.000,822.000,935.000
37,-108.00,117.000,-829.000,829.000,946.000
38,-106.00,110.000,-826.000,826.000,935.000
39,-104.00,111.000,-823.000,823.000,933.000
40,-102.00,110.000,-821.000,821.000,931.000
41,-100.00,107.000,-824.000,824.000,932.000
42,-98.00,107.000,-812.000,812.000,918.000
43,-96.00,111.000,-822.000,822.000,932.000
44,-94.00,107.000,-819.000,819.000,926.000
45,-92.00,105.000,-819.000,819.000,925.000
46,-90.00,106.000,-820.000,820.000,926.000
47,-88.00,104.000,-816.000,816.000,920.000
48,-86.00,109.000,-818.000,818.000,927.000
49,-84.00,109.000,-822.000,822.000,931.000
50,-82.00,109.000,-827.000,827.000,936.000
51,-80.00,105.000,-832.000,832.000,937.000
52,-78.00,104.000,-838.000,838.000,942.000
53,-76.00,113.000,-840.000,840.000,953.000
54,-74.00,114.000,-846.000,846.000,960.000
55,-72.00,114.000,-866.000,866.000,981.000
56,-70.00,112.000,-876.000,876.000,988.000
57,-68.00,118.000,-892.000,892.000,1010.000
58,-66.00,118.000,-902.000,902.000,1020.000
59,-64.00,122.000,-913.000,913.000,1034.000
60,-62.00,132.000,-931.000,931.000,1062.000
61,-60.00,133.000,-949.000,949.000,1082.000
62,-58.00,133.000,-963.000,963.000,1096.000
63,-56.00,140.000,-973.000,973.000,1113.000
64,-54.00,142.000,-986.000,986.000,1128.000
65,-52.00,147.000,-1003.000,1003.000,1150.000
66,-50.00,158.000,-1015.000,1015.000,1173.000
67,-48.00,173.000,-1031.000,1031.000,1204.000
68,-46.00,180.000,-1041.000,1041.000,1221.000
69,-44.00,186.000,-1055.000,1055.000,1241.000
70,-42.00,199.000,-1055.000,1055.000,1253.000
71,-40.00,204.000,-1074.000,1074.000,1278.000
72,-38.00,213.000,-1082.000,1082.000,1295.000
73,-36.00,223.000,-1093.000,1093.000,1316.000
74,-34.00,239.000,-1096.000,1096.000,1335.000
75,-32.00,250.000,-1104.000,1104.000,1354.000
76,-30.00,262.000,-1108.000,1108.000,1371.000
77,-28.00,281.000,-1111.000,1111.000,1393.000
78,-26.00,292.000,-1110.000,1110.000,1402.000
79,-24.00,308.000,-1109.000,1109.000,1418.000
80,-22.00,320.000,-1115.000,1115.000,1436.000
81,-20.00,330.000,-1111.000,1111.000,1441.000
82,-18.00,351.000,-1113.000,1113.000,1464.000
83,-16.00,361.000,-1107.000,1107.000,1468.000
84,-14.00,381.000,-1108.000,1108.000,1489.000
85,-12.00,396.000,-1106.000,1106.000,1502.000
86,-10.00,410.000,-1101.000,1101.000,1512.000
87,-8.00,421.000,-1085.000,1085.000,1506.000
88,-6.00,440.000,-1080.000,1080.000,1520.000
89,-4.00,456.000,-1069.000,1069.000,1524.000
90,-2.00,471.000,-1056.000,1056.000,1527.000
91,+0.00,493.000,-1044.000,1044.000,1538.000
92,+2.00,504.000,-1031.000,1031.000,1535.000
93,+4.00,520.000,-1022.000,1022.000,1541.000
94,+6.00,530.000,-1005.000,1005.000,1534.000
95,+8.00,546.000,-987.000,987.000,1533.000
96,+10.00,556.000,-969.000,969.000,1525.000
97,+12.00,563.000,-957.000,957.000,1520.000
98,+14.00,577.000,-933.000,933.000,1510.000
99,+16.00,590.000,-914.000,914.000,1503.000
100,+18.00,603.000,-898.000,898.000,1501.000
101,+20.00,622.000,-865.000,865.000,1487.000
