# Sweep MEMS Solo FASE (128 Medie) - 20260907_160506
frequency_Hz,Phase_deg
417120.000,70.400
417122.000,70.100
417124.000,69.600
417126.000,69.600
417128.000,70.000
417130.000,70.000
417132.000,69.800
417134.000,70.400
417136.000,70.400
417138.000,70.700
417140.000,69.900
417142.000,70.000
417144.000,70.600
417146.000,70.000
417148.000,69.900
417150.000,69.900
417152.000,70.000
417154.000,69.900
417156.000,70.300
417158.000,69.800
417160.000,69.900
417162.000,69.800
417164.000,70.400
417166.000,70.200
417168.000,70.500
417170.000,70.400
417172.000,70.100
417174.000,70.400
417176.000,70.500
417178.000,70.100
417180.000,70.400
417182.000,70.100
417184.000,69.900
417186.000,69.600
417188.000,70.100
417190.000,70.600
417192.000,69.900
417194.000,70.000
417196.000,69.500
417198.000,69.600
417200.000,70.200
417202.000,69.700
417204.000,70.100
417206.000,69.900
417208.000,69.900
417210.000,70.200
417212.000,69.800
417214.000,70.000
417216.000,70.500
417218.000,69.800
417220.000,70.100
417222.000,69.900
417224.000,69.900
417226.000,70.000
417228.000,69.900
417230.000,70.100
417232.000,70.000
417234.000,70.000
417236.000,69.800
417238.000,70.100
417240.000,70.200
417242.000,70.000
417244.000,70.000
417246.000,69.900
417248.000,70.100
417250.000,70.100
417252.000,69.900
417254.000,70.100
417256.000,70.200
417258.000,69.700
417260.000,70.400
417262.000,70.100
417264.000,69.600
417266.000,70.000
417268.000,70.000
417270.000,70.300
417272.000,69.600
417274.000,69.600
417276.000,70.100
417278.000,70.200
417280.000,69.900
417282.000,70.000
417284.000,70.100
417286.000,70.500
417288.000,69.500
417290.000,69.800
417292.000,70.200
417294.000,70.100
417296.000,69.300
417298.000,70.100
417300.000,70.000
417302.000,70.200
417304.000,69.900
417306.000,69.900
417308.000,69.700
417310.000,69.800
417312.000,70.300
417314.000,70.000
417316.000,69.500
417318.000,69.300
417320.000,70.100
417322.000,69.400
417324.000,69.500
417326.000,69.500
417328.000,70.000
417330.000,69.700
417332.000,69.400
417334.000,69.700
417336.000,69.900
417338.000,69.900
417340.000,69.600
417342.000,69.300
417344.000,70.100
417346.000,69.500
417348.000,69.200
417350.000,69.700
417352.000,69.600
417354.000,69.200
417356.000,69.600
417358.000,69.100
417360.000,69.000
417362.000,69.600
417364.000,70.100
417366.000,69.500
417368.000,69.200
417370.000,69.500
417372.000,69.600
417374.000,69.100
417376.000,69.500
417378.000,69.300
417380.000,69.400
417382.000,68.800
417384.000,68.900
417386.000,69.000
417388.000,69.500
417390.000,69.400
417392.000,69.300
417394.000,69.000
417396.000,69.000
417398.000,68.800
417400.000,69.100
417402.000,68.600
417404.000,68.800
417406.000,68.700
417408.000,68.600
417410.000,68.600
417412.000,68.600
417414.000,68.400
417416.000,68.800
417418.000,69.300
417420.000,68.600
417422.000,68.800
417424.000,68.600
417426.000,68.400
417428.000,68.600
417430.000,68.500
417432.000,68.700
417434.000,68.300
417436.000,68.400
417438.000,68.300
417440.000,67.900
417442.000,68.100
417444.000,68.600
417446.000,68.100
417448.000,68.800
417450.000,68.300
417452.000,68.200
417454.000,68.500
417456.000,68.100
417458.000,68.200
417460.000,68.200
417462.000,68.400
417464.000,68.300
417466.000,68.800
417468.000,68.200
417470.000,68.300
417472.000,68.600
417474.000,68.500
417476.000,68.000
417478.000,68.600
417480.000,68.400
417482.000,68.300
417484.000,69.200
417486.000,68.500
417488.000,68.300
417490.000,68.600
417492.000,68.700
417494.000,68.400
417496.000,69.000
417498.000,69.000
417500.000,68.900
417502.000,68.600
417504.000,69.200
417506.000,69.300
417508.000,68.400
417510.000,68.900
417512.000,69.400
417514.000,69.100
417516.000,68.800
417518.000,68.900
417520.000,69.000
417522.000,68.900
417524.000,69.000
417526.000,69.500
417528.000,69.100
417530.000,69.200
417532.000,69.300
417534.000,69.300
417536.000,69.600
417538.000,69.400
417540.000,69.400
417542.000,69.900
417544.000,70.000
417546.000,69.500
417548.000,69.600
417550.000,69.500
417552.000,69.200
417554.000,69.500
417556.000,69.500
417558.000,69.500
417560.000,69.100
417562.000,69.600
417564.000,69.300
417566.000,69.900
417568.000,69.300
417570.000,69.900
417572.000,69.800
417574.000,69.500
417576.000,69.700
417578.000,70.000
417580.000,70.200
417582.000,69.800
417584.000,69.400
417586.000,69.400
417588.000,69.600
417590.000,69.500
417592.000,69.200
417594.000,70.400
417596.000,69.800
417598.000,70.100
417600.000,69.900
417602.000,69.800
417604.000,69.800
417606.000,69.800
417608.000,70.300
417610.000,70.000
417612.000,70.100
417614.000,70.100
417616.000,70.200
417618.000,70.300
417620.000,69.800
417622.000,70.000
417624.000,70.100
