# Sweep MEMS Solo MODULO (128 Medie) - 20260907_160506
frequency_Hz,Vin_Vpp_V,Vout_Vpp_V,Gain_linear,Gain_dB
417120.000,9.146000e-02,1.027000e+00,1.122895e+01,21.007
417122.000,9.142000e-02,1.026000e+00,1.122293e+01,21.002
417124.000,9.149000e-02,1.025000e+00,1.120341e+01,20.987
417126.000,9.139000e-02,1.025000e+00,1.121567e+01,20.997
417128.000,9.142000e-02,1.025000e+00,1.121199e+01,20.994
417130.000,9.142000e-02,1.024000e+00,1.120105e+01,20.985
417132.000,9.149000e-02,1.025000e+00,1.120341e+01,20.987
417134.000,9.135000e-02,1.024000e+00,1.120963e+01,20.992
417136.000,9.128000e-02,1.025000e+00,1.122918e+01,21.007
417138.000,9.146000e-02,1.022000e+00,1.117428e+01,20.964
417140.000,9.146000e-02,1.024000e+00,1.119615e+01,20.981
417142.000,9.139000e-02,1.025000e+00,1.121567e+01,20.997
417144.000,9.135000e-02,1.021000e+00,1.117679e+01,20.966
417146.000,9.135000e-02,1.028000e+00,1.125342e+01,21.026
417148.000,9.135000e-02,1.027000e+00,1.124247e+01,21.017
417150.000,9.139000e-02,1.025000e+00,1.121567e+01,20.997
417152.000,9.149000e-02,1.023000e+00,1.118155e+01,20.970
417154.000,9.146000e-02,1.023000e+00,1.118522e+01,20.973
417156.000,9.146000e-02,1.029000e+00,1.125082e+01,21.024
417158.000,9.135000e-02,1.029000e+00,1.126437e+01,21.034
417160.000,9.135000e-02,1.023000e+00,1.119869e+01,20.983
417162.000,9.142000e-02,1.026000e+00,1.122293e+01,21.002
417164.000,9.160000e-02,1.027000e+00,1.121179e+01,20.993
417166.000,9.139000e-02,1.031000e+00,1.128132e+01,21.047
417168.000,9.153000e-02,1.030000e+00,1.125314e+01,21.025
417170.000,9.149000e-02,1.029000e+00,1.124713e+01,21.021
417172.000,9.149000e-02,1.024000e+00,1.119248e+01,20.979
417174.000,9.139000e-02,1.026000e+00,1.122661e+01,21.005
417176.000,9.146000e-02,1.025000e+00,1.120709e+01,20.990
417178.000,9.153000e-02,1.025000e+00,1.119851e+01,20.983
417180.000,9.139000e-02,1.027000e+00,1.123755e+01,21.013
417182.000,9.153000e-02,1.028000e+00,1.123129e+01,21.009
417184.000,9.139000e-02,1.029000e+00,1.125944e+01,21.030
417186.000,9.139000e-02,1.023000e+00,1.119378e+01,20.980
417188.000,9.139000e-02,1.027000e+00,1.123755e+01,21.013
417190.000,9.156000e-02,1.023000e+00,1.117300e+01,20.963
417192.000,9.142000e-02,1.027000e+00,1.123387e+01,21.011
417194.000,9.156000e-02,1.024000e+00,1.118392e+01,20.972
417196.000,9.142000e-02,1.023000e+00,1.119011e+01,20.977
417198.000,9.142000e-02,1.026000e+00,1.122293e+01,21.002
417200.000,9.142000e-02,1.026000e+00,1.122293e+01,21.002
417202.000,9.139000e-02,1.025000e+00,1.121567e+01,20.997
417204.000,9.149000e-02,1.027000e+00,1.122527e+01,21.004
417206.000,9.142000e-02,1.029000e+00,1.125574e+01,21.027
417208.000,9.146000e-02,1.027000e+00,1.122895e+01,21.007
417210.000,9.153000e-02,1.029000e+00,1.124222e+01,21.017
