# Sweep MEMS Solo FASE a VDC=1.0V - 20260908_130623
frequency_Hz,Phase_deg
417120.000,68.500
417122.667,68.500
417125.333,68.800
417128.000,69.000
417130.667,68.500
417133.333,69.000
417136.000,69.200
417138.667,68.800
417141.333,69.500
417144.000,68.500
417146.667,69.300
417149.333,69.600
417152.000,69.200
417154.667,69.000
417157.333,69.400
417160.000,69.000
417162.667,70.200
417165.333,68.700
417168.000,69.000
417170.667,68.600
417173.333,69.300
417176.000,70.100
417178.667,69.300
417181.333,69.100
417184.000,67.500
417186.667,69.500
417189.333,68.200
417192.000,69.100
417194.667,70.200
417197.333,68.900
417200.000,68.400
417202.667,68.800
417205.333,69.400
417208.000,68.500
417210.667,69.700
417213.333,69.300
417216.000,68.800
417218.667,69.900
417221.333,69.300
417224.000,69.200
417226.667,69.000
417229.333,69.100
417232.000,70.100
417234.667,69.500
417237.333,68.500
417240.000,68.900
417242.667,68.200
417245.333,68.600
417248.000,69.200
417250.667,69.300
417253.333,68.600
417256.000,68.700
417258.667,68.500
417261.333,69.500
417264.000,68.100
417266.667,68.800
417269.333,69.300
417272.000,69.600
417274.667,69.300
417277.333,68.500
417280.000,69.900
417282.667,68.900
417285.333,69.200
417288.000,68.800
417290.667,69.800
417293.333,68.900
417296.000,69.600
417298.667,69.300
417301.333,69.000
417304.000,70.100
417306.667,69.400
417309.333,69.600
417312.000,68.700
417314.667,70.000
417317.333,69.500
417320.000,69.600
417322.667,69.400
417325.333,68.600
417328.000,69.000
417330.667,68.500
417333.333,69.100
417336.000,68.600
417338.667,69.200
417341.333,69.200
417344.000,69.600
417346.667,69.800
417349.333,69.900
417352.000,69.300
417354.667,70.000
417357.333,70.100
417360.000,70.500
417362.667,70.500
417365.333,69.500
417368.000,70.100
417370.667,70.200
417373.333,69.700
417376.000,70.400
417378.667,69.800
417381.333,68.900
417384.000,69.800
417386.667,69.900
417389.333,69.600
417392.000,70.500
417394.667,70.000
417397.333,70.700
417400.000,70.000
417402.667,70.200
417405.333,70.900
417408.000,69.300
417410.667,70.300
417413.333,69.600
417416.000,70.600
417418.667,70.000
417421.333,69.500
417424.000,69.700
417426.667,70.200
417429.333,70.600
417432.000,71.400
417434.667,70.800
417437.333,71.400
417440.000,70.200
417442.667,68.900
417445.333,70.400
417448.000,70.000
417450.667,71.000
417453.333,70.900
417456.000,69.500
417458.667,70.700
417461.333,70.100
417464.000,70.100
417466.667,70.300
417469.333,68.900
417472.000,70.000
417474.667,70.100
417477.333,70.300
417480.000,70.200
417482.667,69.200
417485.333,69.500
417488.000,70.800
417490.667,69.300
417493.333,70.300
417496.000,70.400
417498.667,70.500
417501.333,70.400
417504.000,70.000
417506.667,70.200
417509.333,69.500
417512.000,70.800
417514.667,70.200
417517.333,70.400
417520.000,70.600
417522.667,70.300
417525.333,70.500
417528.000,70.000
417530.667,69.900
417533.333,70.500
417536.000,70.300
417538.667,70.900
417541.333,71.000
417544.000,69.400
417546.667,70.600
417549.333,71.300
417552.000,70.300
417554.667,69.800
417557.333,70.100
417560.000,70.300
417562.667,70.400
417565.333,70.100
417568.000,69.900
417570.667,69.700
417573.333,70.600
417576.000,69.900
417578.667,70.100
417581.333,69.400
417584.000,71.800
417586.667,70.600
417589.333,70.500
417592.000,69.500
417594.667,69.100
417597.333,70.400
417600.000,70.400
417602.667,70.400
417605.333,70.300
417608.000,70.700
417610.667,70.200
417613.333,70.700
417616.000,69.700
417618.667,68.700
417621.333,70.500
417624.000,70.000
417626.667,70.300
417629.333,69.500
417632.000,70.700
417634.667,69.200
417637.333,70.200
417640.000,70.200
417642.667,70.000
417645.333,70.900
417648.000,69.900
417650.667,70.200
417653.333,70.300
417656.000,70.400
417658.667,70.300
417661.333,69.900
417664.000,70.000
417666.667,70.500
417669.333,69.000
417672.000,70.900
417674.667,69.600
417677.333,71.000
417680.000,70.300
417682.667,69.300
417685.333,70.200
417688.000,70.200
417690.667,69.400
417693.333,69.600
417696.000,70.000
417698.667,69.700
417701.333,69.200
417704.000,71.300
417706.667,70.400
417709.333,70.000
417712.000,70.600
417714.667,69.400
417717.333,71.200
417720.000,70.500
417722.667,69.600
417725.333,69.900
417728.000,70.200
417730.667,69.600
417733.333,70.400
417736.000,71.000
417738.667,70.800
417741.333,70.700
417744.000,69.800
417746.667,70.300
417749.333,70.500
417752.000,69.500
417754.667,69.700
417757.333,70.200
417760.000,70.300
417762.667,69.500
417765.333,71.000
417768.000,71.800
417770.667,70.000
417773.333,70.000
417776.000,71.400
417778.667,70.400
417781.333,71.100
417784.000,69.700
417786.667,69.800
417789.333,70.000
417792.000,70.400
417794.667,70.300
417797.333,70.600
417800.000,71.000
417802.667,69.200
417805.333,69.600
417808.000,71.000
417810.667,70.600
417813.333,70.400
417816.000,71.600
417818.667,70.900
417821.333,70.300
417824.000,70.000
417826.667,69.500
417829.333,71.700
417832.000,69.800
417834.667,70.000
417837.333,69.900
417840.000,69.400
417842.667,70.900
417845.333,70.700
417848.000,70.100
417850.667,70.000
417853.333,70.600
417856.000,70.700
417858.667,69.600
417861.333,71.000
417864.000,70.800
417866.667,70.300
417869.333,70.300
417872.000,70.300
417874.667,70.800
417877.333,70.100
417880.000,70.200
417882.667,70.500
417885.333,69.400
417888.000,69.400
417890.667,71.300
417893.333,69.700
417896.000,70.100
417898.667,71.000
417901.333,69.900
417904.000,70.500
417906.667,70.100
417909.333,70.100
417912.000,70.600
417914.667,69.900
417917.333,69.600
417920.000,70.100
