# Sweep MEMS Solo MODULO a VDC=3.0V - 20260908_130623
frequency_Hz,Vin_Vpp_V,Vout_Vpp_V,Gain_linear,Gain_dB
417120.000,9.280000e-02,1.044000e+00,1.125000e+01,21.023
417122.667,9.300000e-02,1.048000e+00,1.126882e+01,21.038
417125.333,9.290000e-02,1.051000e+00,1.131324e+01,21.072
417128.000,9.270000e-02,1.043000e+00,1.125135e+01,21.024
417130.667,9.270000e-02,1.049000e+00,1.131607e+01,21.074
417133.333,9.280000e-02,1.048000e+00,1.129310e+01,21.056
417136.000,9.290000e-02,1.053000e+00,1.133477e+01,21.088
417138.667,9.260000e-02,1.039000e+00,1.122030e+01,21.000
417141.333,9.300000e-02,1.050000e+00,1.129032e+01,21.054
417144.000,9.280000e-02,1.048000e+00,1.129310e+01,21.056
417146.667,9.260000e-02,1.051000e+00,1.134989e+01,21.100
417149.333,9.270000e-02,1.048000e+00,1.130529e+01,21.066
417152.000,9.310000e-02,1.048000e+00,1.125671e+01,21.028
417154.667,9.270000e-02,1.048000e+00,1.130529e+01,21.066
417157.333,9.270000e-02,1.049000e+00,1.131607e+01,21.074
417160.000,9.280000e-02,1.048000e+00,1.129310e+01,21.056
417162.667,9.270000e-02,1.049000e+00,1.131607e+01,21.074
417165.333,9.270000e-02,1.049000e+00,1.131607e+01,21.074
417168.000,9.290000e-02,1.054000e+00,1.134553e+01,21.096
417170.667,9.290000e-02,1.051000e+00,1.131324e+01,21.072
417173.333,9.300000e-02,1.049000e+00,1.127957e+01,21.046
417176.000,9.290000e-02,1.049000e+00,1.129171e+01,21.055
417178.667,9.300000e-02,1.047000e+00,1.125806e+01,21.029
417181.333,9.290000e-02,1.047000e+00,1.127018e+01,21.039
417184.000,9.270000e-02,1.050000e+00,1.132686e+01,21.082
417186.667,9.300000e-02,1.046000e+00,1.124731e+01,21.021
417189.333,9.270000e-02,1.049000e+00,1.131607e+01,21.074
417192.000,9.280000e-02,1.052000e+00,1.133621e+01,21.089
417194.667,9.280000e-02,1.056000e+00,1.137931e+01,21.122
417197.333,9.280000e-02,1.051000e+00,1.132543e+01,21.081
417200.000,9.260000e-02,1.054000e+00,1.138229e+01,21.125
417202.667,9.310000e-02,1.052000e+00,1.129968e+01,21.061
417205.333,9.290000e-02,1.051000e+00,1.131324e+01,21.072
