# Sweep MEMS Completo a VDC=4.0V (128 Medie) - 20260908_130623
"# VDC_target=4.0 V, VDC_meas=4.004 V, IDC_meas=-0.13 mA, f_center=417520.0 Hz, pts=301"
step,frequency_Hz,freq_readback_Hz,Vin_Vpp_V,Vout_Vpp_V,Gain_linear,Gain_dB,Phase_deg
1,417120.000,417120.000,9.300000e-02,1.049000e+00,1.127957e+01,21.046,69.100
2,417122.667,417122.667,9.260000e-02,1.054000e+00,1.138229e+01,21.125,69.400
3,417125.333,417125.333,9.250000e-02,1.048000e+00,1.132973e+01,21.084,70.200
4,417128.000,417128.000,9.290000e-02,1.056000e+00,1.136706e+01,21.113,69.800
5,417130.667,417130.667,9.270000e-02,1.050000e+00,1.132686e+01,21.082,69.400
6,417133.333,417133.333,9.280000e-02,1.051000e+00,1.132543e+01,21.081,69.100
7,417136.000,417136.000,9.310000e-02,1.049000e+00,1.126745e+01,21.037,69.600
8,417138.667,417138.667,9.290000e-02,1.052000e+00,1.132400e+01,21.080,70.200
9,417141.333,417141.333,9.270000e-02,1.049000e+00,1.131607e+01,21.074,69.100
10,417144.000,417144.000,9.300000e-02,1.051000e+00,1.130108e+01,21.062,68.900
11,417146.667,417146.667,9.280000e-02,1.049000e+00,1.130388e+01,21.065,70.100
12,417149.333,417149.333,9.280000e-02,1.047000e+00,1.128233e+01,21.048,70.000
13,417152.000,417152.000,9.270000e-02,1.048000e+00,1.130529e+01,21.066,69.600
14,417154.667,417154.667,9.290000e-02,1.046000e+00,1.125942e+01,21.030,69.600
15,417157.333,417157.333,9.280000e-02,1.049000e+00,1.130388e+01,21.065,70.000
16,417160.000,417160.000,9.300000e-02,1.054000e+00,1.133333e+01,21.087,69.000
17,417162.667,417162.667,9.290000e-02,1.055000e+00,1.135630e+01,21.105,69.600
18,417165.333,417165.333,9.290000e-02,1.053000e+00,1.133477e+01,21.088,70.200
19,417168.000,417168.000,9.260000e-02,1.049000e+00,1.132829e+01,21.083,69.800
20,417170.667,417170.667,9.270000e-02,1.053000e+00,1.135922e+01,21.107,69.800
21,417173.333,417173.333,9.290000e-02,1.054000e+00,1.134553e+01,21.096,70.400
22,417176.000,417176.000,9.270000e-02,1.049000e+00,1.131607e+01,21.074,69.600
23,417178.667,417178.667,9.270000e-02,1.050000e+00,1.132686e+01,21.082,69.900
24,417181.333,417181.333,9.270000e-02,1.050000e+00,1.132686e+01,21.082,69.100
25,417184.000,417184.000,9.270000e-02,1.047000e+00,1.129450e+01,21.057,69.300
26,417186.667,417186.667,9.250000e-02,1.049000e+00,1.134054e+01,21.093,69.300
27,417189.333,417189.333,9.290000e-02,1.050000e+00,1.130248e+01,21.063,69.800
28,417192.000,417192.000,9.280000e-02,1.054000e+00,1.135776e+01,21.106,70.400
29,417194.667,417194.667,9.250000e-02,1.049000e+00,1.134054e+01,21.093,69.000
30,417197.333,417197.333,9.280000e-02,1.051000e+00,1.132543e+01,21.081,70.300
31,417200.000,417200.000,9.280000e-02,1.050000e+00,1.131466e+01,21.073,69.800
32,417202.667,417202.667,9.290000e-02,1.045000e+00,1.124865e+01,21.022,70.300
33,417205.333,417205.333,9.300000e-02,1.048000e+00,1.126882e+01,21.038,69.900
34,417208.000,417208.000,9.270000e-02,1.048000e+00,1.130529e+01,21.066,70.100
35,417210.667,417210.667,9.270000e-02,1.044000e+00,1.126214e+01,21.032,70.500
36,417213.333,417213.333,9.260000e-02,1.051000e+00,1.134989e+01,21.100,69.100
37,417216.000,417216.000,9.270000e-02,1.054000e+00,1.137001e+01,21.115,68.800
38,417218.667,417218.667,9.250000e-02,1.057000e+00,1.142703e+01,21.159,70.500
39,417221.333,417221.333,9.270000e-02,1.054000e+00,1.137001e+01,21.115,69.500
40,417224.000,417224.000,9.270000e-02,1.052000e+00,1.134844e+01,21.099,69.400
41,417226.667,417226.667,9.260000e-02,1.052000e+00,1.136069e+01,21.108,70.600
42,417229.333,417229.333,9.270000e-02,1.051000e+00,1.133765e+01,21.090,70.400
43,417232.000,417232.000,9.290000e-02,1.051000e+00,1.131324e+01,21.072,68.600
44,417234.667,417234.667,9.290000e-02,1.049000e+00,1.129171e+01,21.055,70.300
45,417237.333,417237.333,9.290000e-02,1.046000e+00,1.125942e+01,21.030,70.200
46,417240.000,417240.000,9.270000e-02,1.053000e+00,1.135922e+01,21.107,69.700
47,417242.667,417242.667,9.280000e-02,1.047000e+00,1.128233e+01,21.048,68.500
48,417245.333,417245.333,9.270000e-02,1.053000e+00,1.135922e+01,21.107,70.300
49,417248.000,417248.000,9.270000e-02,1.047000e+00,1.129450e+01,21.057,70.200
50,417250.667,417250.667,9.280000e-02,1.049000e+00,1.130388e+01,21.065,69.500
51,417253.333,417253.333,9.270000e-02,1.049000e+00,1.131607e+01,21.074,69.400
52,417256.000,417256.000,9.310000e-02,1.051000e+00,1.128894e+01,21.053,69.300
53,417258.667,417258.667,9.320000e-02,1.052000e+00,1.128755e+01,21.052,69.200
54,417261.333,417261.333,9.280000e-02,1.058000e+00,1.140086e+01,21.139,69.900
55,417264.000,417264.000,9.270000e-02,1.054000e+00,1.137001e+01,21.115,70.500
56,417266.667,417266.667,9.280000e-02,1.052000e+00,1.133621e+01,21.089,69.300
57,417269.333,417269.333,9.310000e-02,1.053000e+00,1.131042e+01,21.070,70.300
58,417272.000,417272.000,9.290000e-02,1.054000e+00,1.134553e+01,21.096,70.000
59,417274.667,417274.667,9.250000e-02,1.051000e+00,1.136216e+01,21.109,70.000
60,417277.333,417277.333,9.300000e-02,1.046000e+00,1.124731e+01,21.021,68.200
61,417280.000,417280.000,9.270000e-02,1.057000e+00,1.140237e+01,21.140,69.900
62,417282.667,417282.667,9.270000e-02,1.055000e+00,1.138080e+01,21.123,69.200
63,417285.333,417285.333,9.290000e-02,1.054000e+00,1.134553e+01,21.096,70.000
64,417288.000,417288.000,9.290000e-02,1.045000e+00,1.124865e+01,21.022,70.000
65,417290.667,417290.667,9.290000e-02,1.056000e+00,1.136706e+01,21.113,69.800
66,417293.333,417293.333,9.270000e-02,1.056000e+00,1.139159e+01,21.132,69.800
67,417296.000,417296.000,9.300000e-02,1.052000e+00,1.131183e+01,21.071,70.100
68,417298.667,417298.667,9.280000e-02,1.049000e+00,1.130388e+01,21.065,70.100
69,417301.333,417301.333,9.260000e-02,1.053000e+00,1.137149e+01,21.116,70.200
70,417304.000,417304.000,9.290000e-02,1.055000e+00,1.135630e+01,21.105,70.100
71,417306.667,417306.667,9.300000e-02,1.049000e+00,1.127957e+01,21.046,70.800
72,417309.333,417309.333,9.270000e-02,1.052000e+00,1.134844e+01,21.099,69.900
73,417312.000,417312.000,9.260000e-02,1.048000e+00,1.131749e+01,21.075,70.700
74,417314.667,417314.667,9.290000e-02,1.058000e+00,1.138859e+01,21.129,68.300
75,417317.333,417317.333,9.290000e-02,1.051000e+00,1.131324e+01,21.072,70.700
76,417320.000,417320.000,9.290000e-02,1.051000e+00,1.131324e+01,21.072,70.000
77,417322.667,417322.667,9.280000e-02,1.056000e+00,1.137931e+01,21.122,69.500
78,417325.333,417325.333,9.260000e-02,1.046000e+00,1.129590e+01,21.058,69.800
79,417328.000,417328.000,9.310000e-02,1.057000e+00,1.135338e+01,21.103,69.400
80,417330.667,417330.667,9.290000e-02,1.051000e+00,1.131324e+01,21.072,68.800
81,417333.333,417333.333,9.270000e-02,1.051000e+00,1.133765e+01,21.090,69.800
82,417336.000,417336.000,9.270000e-02,1.052000e+00,1.134844e+01,21.099,70.200
83,417338.667,417338.667,9.280000e-02,1.055000e+00,1.136853e+01,21.114,70.900
84,417341.333,417341.333,9.280000e-02,1.056000e+00,1.137931e+01,21.122,70.300
85,417344.000,417344.000,9.280000e-02,1.059000e+00,1.141164e+01,21.147,69.500
86,417346.667,417346.667,9.300000e-02,1.054000e+00,1.133333e+01,21.087,70.000
87,417349.333,417349.333,9.270000e-02,1.043000e+00,1.125135e+01,21.024,70.400
88,417352.000,417352.000,9.270000e-02,1.049000e+00,1.131607e+01,21.074,69.600
89,417354.667,417354.667,9.270000e-02,1.056000e+00,1.139159e+01,21.132,69.800
90,417357.333,417357.333,9.300000e-02,1.051000e+00,1.130108e+01,21.062,69.600
91,417360.000,417360.000,9.280000e-02,1.054000e+00,1.135776e+01,21.106,69.900
92,417362.667,417362.667,9.280000e-02,1.059000e+00,1.141164e+01,21.147,68.900
93,417365.333,417365.333,9.280000e-02,1.060000e+00,1.142241e+01,21.155,69.900
94,417368.000,417368.000,9.310000e-02,1.051000e+00,1.128894e+01,21.053,69.900
95,417370.667,417370.667,9.290000e-02,1.049000e+00,1.129171e+01,21.055,69.700
96,417373.333,417373.333,9.270000e-02,1.054000e+00,1.137001e+01,21.115,70.500
97,417376.000,417376.000,9.270000e-02,1.060000e+00,1.143474e+01,21.165,70.900
98,417378.667,417378.667,9.280000e-02,1.043000e+00,1.123922e+01,21.015,70.700
99,417381.333,417381.333,9.270000e-02,1.052000e+00,1.134844e+01,21.099,68.900
100,417384.000,417384.000,9.270000e-02,1.051000e+00,1.133765e+01,21.090,70.200
101,417386.667,417386.667,9.280000e-02,1.052000e+00,1.133621e+01,21.089,70.400
102,417389.333,417389.333,9.270000e-02,1.059000e+00,1.142395e+01,21.156,69.400
103,417392.000,417392.000,9.280000e-02,1.051000e+00,1.132543e+01,21.081,70.300
104,417394.667,417394.667,9.290000e-02,1.057000e+00,1.137783e+01,21.121,71.100
105,417397.333,417397.333,9.300000e-02,1.055000e+00,1.134409e+01,21.095,70.000
106,417400.000,417400.000,9.260000e-02,1.054000e+00,1.138229e+01,21.125,70.200
107,417402.667,417402.667,9.290000e-02,1.049000e+00,1.129171e+01,21.055,69.600
108,417405.333,417405.333,9.270000e-02,1.056000e+00,1.139159e+01,21.132,69.600
109,417408.000,417408.000,9.280000e-02,1.057000e+00,1.139009e+01,21.131,69.800
110,417410.667,417410.667,9.250000e-02,1.057000e+00,1.142703e+01,21.159,69.400
111,417413.333,417413.333,9.310000e-02,1.055000e+00,1.133190e+01,21.086,69.800
112,417416.000,417416.000,9.270000e-02,1.056000e+00,1.139159e+01,21.132,69.500
113,417418.667,417418.667,9.290000e-02,1.062000e+00,1.143165e+01,21.162,70.400
114,417421.333,417421.333,9.280000e-02,1.050000e+00,1.131466e+01,21.073,70.000
115,417424.000,417424.000,9.290000e-02,1.053000e+00,1.133477e+01,21.088,70.400
116,417426.667,417426.667,9.280000e-02,1.047000e+00,1.128233e+01,21.048,69.900
117,417429.333,417429.333,9.270000e-02,1.052000e+00,1.134844e+01,21.099,70.400
118,417432.000,417432.000,9.280000e-02,1.053000e+00,1.134698e+01,21.098,69.500
119,417434.667,417434.667,9.320000e-02,1.059000e+00,1.136266e+01,21.110,69.800
120,417437.333,417437.333,9.290000e-02,1.056000e+00,1.136706e+01,21.113,69.200
121,417440.000,417440.000,9.320000e-02,1.058000e+00,1.135193e+01,21.101,70.500
122,417442.667,417442.667,9.330000e-02,1.055000e+00,1.130761e+01,21.067,70.400
123,417445.333,417445.333,9.290000e-02,1.056000e+00,1.136706e+01,21.113,69.700
124,417448.000,417448.000,9.310000e-02,1.059000e+00,1.137487e+01,21.119,69.700
125,417450.667,417450.667,9.300000e-02,1.054000e+00,1.133333e+01,21.087,70.000
126,417453.333,417453.333,9.310000e-02,1.054000e+00,1.132116e+01,21.078,69.400
127,417456.000,417456.000,9.300000e-02,1.055000e+00,1.134409e+01,21.095,69.600
128,417458.667,417458.667,9.300000e-02,1.054000e+00,1.133333e+01,21.087,69.900
129,417461.333,417461.333,9.290000e-02,1.055000e+00,1.135630e+01,21.105,69.700
130,417464.000,417464.000,9.280000e-02,1.056000e+00,1.137931e+01,21.122,70.900
131,417466.667,417466.667,9.290000e-02,1.059000e+00,1.139935e+01,21.138,69.300
132,417469.333,417469.333,9.310000e-02,1.062000e+00,1.140709e+01,21.143,70.300
133,417472.000,417472.000,9.360000e-02,1.057000e+00,1.129274e+01,21.056,70.500
134,417474.667,417474.667,9.360000e-02,1.059000e+00,1.131410e+01,21.072,70.600
135,417477.333,417477.333,9.290000e-02,1.056000e+00,1.136706e+01,21.113,69.700
136,417480.000,417480.000,9.300000e-02,1.052000e+00,1.131183e+01,21.071,69.200
137,417482.667,417482.667,9.290000e-02,1.055000e+00,1.135630e+01,21.105,69.900
138,417485.333,417485.333,9.290000e-02,1.055000e+00,1.135630e+01,21.105,69.700
139,417488.000,417488.000,9.290000e-02,1.055000e+00,1.135630e+01,21.105,69.600
140,417490.667,417490.667,9.320000e-02,1.060000e+00,1.137339e+01,21.118,70.400
141,417493.333,417493.333,9.290000e-02,1.055000e+00,1.135630e+01,21.105,69.600
142,417496.000,417496.000,9.300000e-02,1.057000e+00,1.136559e+01,21.112,70.100
143,417498.667,417498.667,9.270000e-02,1.053000e+00,1.135922e+01,21.107,70.500
144,417501.333,417501.333,9.320000e-02,1.060000e+00,1.137339e+01,21.118,69.700
145,417504.000,417504.000,9.270000e-02,1.058000e+00,1.141316e+01,21.148,70.200
146,417506.667,417506.667,9.290000e-02,1.057000e+00,1.137783e+01,21.121,69.300
147,417509.333,417509.333,9.310000e-02,1.051000e+00,1.128894e+01,21.053,69.400
148,417512.000,417512.000,9.300000e-02,1.066000e+00,1.146237e+01,21.185,69.500
149,417514.667,417514.667,9.290000e-02,1.055000e+00,1.135630e+01,21.105,70.000
150,417517.333,417517.333,9.300000e-02,1.059000e+00,1.138710e+01,21.128,68.600
151,417520.000,417520.000,9.290000e-02,1.055000e+00,1.135630e+01,21.105,70.300
152,417522.667,417522.667,9.290000e-02,1.055000e+00,1.135630e+01,21.105,69.700
153,417525.333,417525.333,9.290000e-02,1.062000e+00,1.143165e+01,21.162,70.300
154,417528.000,417528.000,9.280000e-02,1.057000e+00,1.139009e+01,21.131,70.100
155,417530.667,417530.667,9.270000e-02,1.058000e+00,1.141316e+01,21.148,69.700
156,417533.333,417533.333,9.320000e-02,1.050000e+00,1.126609e+01,21.035,69.300
157,417536.000,417536.000,9.280000e-02,1.060000e+00,1.142241e+01,21.155,69.300
158,417538.667,417538.667,9.300000e-02,1.055000e+00,1.134409e+01,21.095,69.800
159,417541.333,417541.333,9.280000e-02,1.061000e+00,1.143319e+01,21.163,69.600
160,417544.000,417544.000,9.310000e-02,1.060000e+00,1.138561e+01,21.127,70.100
161,417546.667,417546.667,9.290000e-02,1.057000e+00,1.137783e+01,21.121,69.200
162,417549.333,417549.333,9.270000e-02,1.057000e+00,1.140237e+01,21.140,69.300
163,417552.000,417552.000,9.270000e-02,1.060000e+00,1.143474e+01,21.165,69.300
164,417554.667,417554.667,9.290000e-02,1.057000e+00,1.137783e+01,21.121,70.500
165,417557.333,417557.333,9.280000e-02,1.056000e+00,1.137931e+01,21.122,70.200
166,417560.000,417560.000,9.290000e-02,1.056000e+00,1.136706e+01,21.113,70.300
167,417562.667,417562.667,9.290000e-02,1.062000e+00,1.143165e+01,21.162,70.000
168,417565.333,417565.333,9.320000e-02,1.058000e+00,1.135193e+01,21.101,69.700
169,417568.000,417568.000,9.270000e-02,1.060000e+00,1.143474e+01,21.165,70.000
170,417570.667,417570.667,9.270000e-02,1.057000e+00,1.140237e+01,21.140,69.600
171,417573.333,417573.333,9.310000e-02,1.057000e+00,1.135338e+01,21.103,68.100
172,417576.000,417576.000,9.310000e-02,1.059000e+00,1.137487e+01,21.119,70.000
173,417578.667,417578.667,9.310000e-02,1.063000e+00,1.141783e+01,21.152,70.000
174,417581.333,417581.333,9.300000e-02,1.061000e+00,1.140860e+01,21.145,70.200
175,417584.000,417584.000,9.290000e-02,1.059000e+00,1.139935e+01,21.138,69.000
176,417586.667,417586.667,9.290000e-02,1.063000e+00,1.144241e+01,21.170,68.900
177,417589.333,417589.333,9.270000e-02,1.059000e+00,1.142395e+01,21.156,69.700
178,417592.000,417592.000,9.290000e-02,1.057000e+00,1.137783e+01,21.121,69.600
179,417594.667,417594.667,9.260000e-02,1.062000e+00,1.146868e+01,21.190,69.100
180,417597.333,417597.333,9.310000e-02,1.054000e+00,1.132116e+01,21.078,69.800
181,417600.000,417600.000,9.320000e-02,1.054000e+00,1.130901e+01,21.068,69.100
182,417602.667,417602.667,9.290000e-02,1.061000e+00,1.142088e+01,21.154,70.200
183,417605.333,417605.333,9.330000e-02,1.058000e+00,1.133976e+01,21.092,70.100
184,417608.000,417608.000,9.290000e-02,1.056000e+00,1.136706e+01,21.113,69.500
185,417610.667,417610.667,9.300000e-02,1.056000e+00,1.135484e+01,21.104,70.200
186,417613.333,417613.333,9.300000e-02,1.057000e+00,1.136559e+01,21.112,69.000
187,417616.000,417616.000,9.290000e-02,1.057000e+00,1.137783e+01,21.121,69.900
188,417618.667,417618.667,9.300000e-02,1.054000e+00,1.133333e+01,21.087,68.400
189,417621.333,417621.333,9.280000e-02,1.049000e+00,1.130388e+01,21.065,69.200
190,417624.000,417624.000,9.290000e-02,1.059000e+00,1.139935e+01,21.138,68.500
191,417626.667,417626.667,9.300000e-02,1.052000e+00,1.131183e+01,21.071,69.400
192,417629.333,417629.333,9.320000e-02,1.051000e+00,1.127682e+01,21.044,69.200
193,417632.000,417632.000,9.290000e-02,1.051000e+00,1.131324e+01,21.072,68.700
194,417634.667,417634.667,9.270000e-02,1.049000e+00,1.131607e+01,21.074,69.200
195,417637.333,417637.333,9.290000e-02,1.048000e+00,1.128095e+01,21.047,68.800
196,417640.000,417640.000,9.350000e-02,1.054000e+00,1.127273e+01,21.041,68.500
197,417642.667,417642.667,9.310000e-02,1.046000e+00,1.123523e+01,21.012,69.600
198,417645.333,417645.333,9.270000e-02,1.047000e+00,1.129450e+01,21.057,69.000
199,417648.000,417648.000,9.280000e-02,1.041000e+00,1.121767e+01,20.998,69.700
200,417650.667,417650.667,9.290000e-02,1.042000e+00,1.121636e+01,20.997,69.700
201,417653.333,417653.333,9.300000e-02,1.049000e+00,1.127957e+01,21.046,69.100
202,417656.000,417656.000,9.280000e-02,1.038000e+00,1.118534e+01,20.973,68.600
203,417658.667,417658.667,9.310000e-02,1.041000e+00,1.118153e+01,20.970,69.200
204,417661.333,417661.333,9.280000e-02,1.042000e+00,1.122845e+01,21.006,69.600
205,417664.000,417664.000,9.290000e-02,1.035000e+00,1.114101e+01,20.938,69.000
206,417666.667,417666.667,9.290000e-02,1.041000e+00,1.120560e+01,20.989,68.700
207,417669.333,417669.333,9.280000e-02,1.039000e+00,1.119612e+01,20.981,67.900
208,417672.000,417672.000,9.300000e-02,1.039000e+00,1.117204e+01,20.963,69.200
209,417674.667,417674.667,9.290000e-02,1.040000e+00,1.119483e+01,20.980,68.700
210,417677.333,417677.333,9.290000e-02,1.043000e+00,1.122713e+01,21.005,69.900
211,417680.000,417680.000,9.280000e-02,1.034000e+00,1.114224e+01,20.939,69.400
212,417682.667,417682.667,9.330000e-02,1.038000e+00,1.112540e+01,20.926,69.400
213,417685.333,417685.333,9.310000e-02,1.035000e+00,1.111708e+01,20.920,69.500
214,417688.000,417688.000,9.280000e-02,1.035000e+00,1.115302e+01,20.948,70.400
215,417690.667,417690.667,9.290000e-02,1.035000e+00,1.114101e+01,20.938,69.400
216,417693.333,417693.333,9.300000e-02,1.032000e+00,1.109677e+01,20.904,69.500
217,417696.000,417696.000,9.310000e-02,1.041000e+00,1.118153e+01,20.970,69.000
218,417698.667,417698.667,9.290000e-02,1.031000e+00,1.109795e+01,20.905,68.800
219,417701.333,417701.333,9.310000e-02,1.032000e+00,1.108485e+01,20.895,70.000
220,417704.000,417704.000,9.280000e-02,1.035000e+00,1.115302e+01,20.948,68.500
221,417706.667,417706.667,9.280000e-02,1.034000e+00,1.114224e+01,20.939,70.300
222,417709.333,417709.333,9.310000e-02,1.027000e+00,1.103115e+01,20.852,69.900
223,417712.000,417712.000,9.290000e-02,1.029000e+00,1.107643e+01,20.888,69.700
224,417714.667,417714.667,9.310000e-02,1.033000e+00,1.109560e+01,20.903,70.300
225,417717.333,417717.333,9.310000e-02,1.038000e+00,1.114930e+01,20.945,69.100
226,417720.000,417720.000,9.300000e-02,1.029000e+00,1.106452e+01,20.879,69.200
227,417722.667,417722.667,9.330000e-02,1.037000e+00,1.111468e+01,20.918,69.100
228,417725.333,417725.333,9.290000e-02,1.039000e+00,1.118407e+01,20.972,69.900
229,417728.000,417728.000,9.250000e-02,1.034000e+00,1.117838e+01,20.968,69.800
230,417730.667,417730.667,9.310000e-02,1.031000e+00,1.107411e+01,20.886,69.600
231,417733.333,417733.333,9.290000e-02,1.029000e+00,1.107643e+01,20.888,69.300
232,417736.000,417736.000,9.280000e-02,1.036000e+00,1.116379e+01,20.956,69.300
233,417738.667,417738.667,9.300000e-02,1.027000e+00,1.104301e+01,20.862,69.700
234,417741.333,417741.333,9.300000e-02,1.032000e+00,1.109677e+01,20.904,68.900
