# Sweep MEMS 2D (VDC E3646A x Frequenza 33220A) - 20260908_130623
"# VDC da 0.0V a 5.0V (passo 1.0V, 6 curve)"
"# f_center=417520.0 Hz, span=+/-400.0 Hz, pts=301, navg=128"
vdc_target_V,vdc_meas_V,idc_meas_A,step_f,frequency_Hz,freq_readback_Hz,Vin_Vpp_V,Vout_Vpp_V,Gain_linear,Gain_dB,Phase_deg
0.00,0.003,-1.241174e-04,1,417120.000,417120.000,9.310000e-02,1.047000e+00,1.124597e+01,21.020,70.100
0.00,0.003,-1.241174e-04,2,417122.667,417122.667,9.290000e-02,1.041000e+00,1.120560e+01,20.989,70.400
0.00,0.003,-1.241174e-04,3,417125.333,417125.333,9.270000e-02,1.041000e+00,1.122977e+01,21.007,69.700
0.00,0.003,-1.241174e-04,4,417128.000,417128.000,9.290000e-02,1.040000e+00,1.119483e+01,20.980,69.600
0.00,0.003,-1.241174e-04,5,417130.667,417130.667,9.290000e-02,1.041000e+00,1.120560e+01,20.989,69.600
0.00,0.003,-1.241174e-04,6,417133.333,417133.333,9.280000e-02,1.042000e+00,1.122845e+01,21.006,70.300
0.00,0.003,-1.241174e-04,7,417136.000,417136.000,9.310000e-02,1.040000e+00,1.117078e+01,20.962,68.500
0.00,0.003,-1.241174e-04,8,417138.667,417138.667,9.290000e-02,1.043000e+00,1.122713e+01,21.005,69.400
0.00,0.003,-1.241174e-04,9,417141.333,417141.333,9.270000e-02,1.044000e+00,1.126214e+01,21.032,68.800
0.00,0.003,-1.241174e-04,10,417144.000,417144.000,9.290000e-02,1.045000e+00,1.124865e+01,21.022,70.400
0.00,0.003,-1.241174e-04,11,417146.667,417146.667,9.260000e-02,1.042000e+00,1.125270e+01,21.025,70.000
0.00,0.003,-1.241174e-04,12,417149.333,417149.333,9.290000e-02,1.037000e+00,1.116254e+01,20.955,68.400
0.00,0.003,-1.241174e-04,13,417152.000,417152.000,9.280000e-02,1.035000e+00,1.115302e+01,20.948,68.500
0.00,0.003,-1.241174e-04,14,417154.667,417154.667,9.260000e-02,1.027000e+00,1.109071e+01,20.899,69.300
0.00,0.003,-1.241174e-04,15,417157.333,417157.333,9.300000e-02,1.037000e+00,1.115054e+01,20.946,69.200
0.00,0.003,-1.241174e-04,16,417160.000,417160.000,9.290000e-02,1.042000e+00,1.121636e+01,20.997,69.500
0.00,0.003,-1.241174e-04,17,417162.667,417162.667,9.290000e-02,1.032000e+00,1.110872e+01,20.913,69.600
0.00,0.003,-1.241174e-04,18,417165.333,417165.333,9.280000e-02,1.035000e+00,1.115302e+01,20.948,68.300
0.00,0.003,-1.241174e-04,19,417168.000,417168.000,9.280000e-02,1.033000e+00,1.113147e+01,20.931,68.900
0.00,0.003,-1.241174e-04,20,417170.667,417170.667,9.290000e-02,1.033000e+00,1.111948e+01,20.922,69.900
0.00,0.003,-1.241174e-04,21,417173.333,417173.333,9.290000e-02,1.031000e+00,1.109795e+01,20.905,68.700
0.00,0.003,-1.241174e-04,22,417176.000,417176.000,9.270000e-02,1.035000e+00,1.116505e+01,20.957,68.700
0.00,0.003,-1.241174e-04,23,417178.667,417178.667,9.290000e-02,1.040000e+00,1.119483e+01,20.980,69.100
0.00,0.003,-1.241174e-04,24,417181.333,417181.333,9.280000e-02,1.032000e+00,1.112069e+01,20.923,69.200
0.00,0.003,-1.241174e-04,25,417184.000,417184.000,9.280000e-02,1.035000e+00,1.115302e+01,20.948,69.200
0.00,0.003,-1.241174e-04,26,417186.667,417186.667,9.290000e-02,1.047000e+00,1.127018e+01,21.039,70.500
0.00,0.003,-1.241174e-04,27,417189.333,417189.333,9.290000e-02,1.039000e+00,1.118407e+01,20.972,69.900
0.00,0.003,-1.241174e-04,28,417192.000,417192.000,9.280000e-02,1.047000e+00,1.128233e+01,21.048,69.500
0.00,0.003,-1.241174e-04,29,417194.667,417194.667,9.250000e-02,1.041000e+00,1.125405e+01,21.026,69.500
0.00,0.003,-1.241174e-04,30,417197.333,417197.333,9.250000e-02,1.038000e+00,1.122162e+01,21.001,70.200
0.00,0.003,-1.241174e-04,31,417200.000,417200.000,9.270000e-02,1.039000e+00,1.120820e+01,20.991,68.600
0.00,0.003,-1.241174e-04,32,417202.667,417202.667,9.290000e-02,1.044000e+00,1.123789e+01,21.014,69.300
0.00,0.003,-1.241174e-04,33,417205.333,417205.333,9.260000e-02,1.039000e+00,1.122030e+01,21.000,69.300
0.00,0.003,-1.241174e-04,34,417208.000,417208.000,9.270000e-02,1.035000e+00,1.116505e+01,20.957,69.000
0.00,0.003,-1.241174e-04,35,417210.667,417210.667,9.300000e-02,1.043000e+00,1.121505e+01,20.996,70.600
0.00,0.003,-1.241174e-04,36,417213.333,417213.333,9.280000e-02,1.040000e+00,1.120690e+01,20.990,69.800
0.00,0.003,-1.241174e-04,37,417216.000,417216.000,9.290000e-02,1.046000e+00,1.125942e+01,21.030,70.200
0.00,0.003,-1.241174e-04,38,417218.667,417218.667,9.310000e-02,1.043000e+00,1.120301e+01,20.987,69.500
0.00,0.003,-1.241174e-04,39,417221.333,417221.333,9.270000e-02,1.041000e+00,1.122977e+01,21.007,69.800
0.00,0.003,-1.241174e-04,40,417224.000,417224.000,9.280000e-02,1.045000e+00,1.126078e+01,21.031,69.600
0.00,0.003,-1.241174e-04,41,417226.667,417226.667,9.250000e-02,1.038000e+00,1.122162e+01,21.001,69.000
0.00,0.003,-1.241174e-04,42,417229.333,417229.333,9.300000e-02,1.041000e+00,1.119355e+01,20.979,69.200
0.00,0.003,-1.241174e-04,43,417232.000,417232.000,9.270000e-02,1.043000e+00,1.125135e+01,21.024,69.500
0.00,0.003,-1.241174e-04,44,417234.667,417234.667,9.270000e-02,1.046000e+00,1.128371e+01,21.049,69.100
0.00,0.003,-1.241174e-04,45,417237.333,417237.333,9.280000e-02,1.045000e+00,1.126078e+01,21.031,69.300
0.00,0.003,-1.241174e-04,46,417240.000,417240.000,9.270000e-02,1.046000e+00,1.128371e+01,21.049,69.200
0.00,0.003,-1.241174e-04,47,417242.667,417242.667,9.270000e-02,1.037000e+00,1.118662e+01,20.974,69.300
0.00,0.003,-1.241174e-04,48,417245.333,417245.333,9.300000e-02,1.035000e+00,1.112903e+01,20.929,70.000
0.00,0.003,-1.241174e-04,49,417248.000,417248.000,9.290000e-02,1.039000e+00,1.118407e+01,20.972,69.200
0.00,0.003,-1.241174e-04,50,417250.667,417250.667,9.270000e-02,1.040000e+00,1.121899e+01,20.999,68.900
0.00,0.003,-1.241174e-04,51,417253.333,417253.333,9.290000e-02,1.041000e+00,1.120560e+01,20.989,70.100
0.00,0.003,-1.241174e-04,52,417256.000,417256.000,9.270000e-02,1.043000e+00,1.125135e+01,21.024,69.600
0.00,0.003,-1.241174e-04,53,417258.667,417258.667,9.300000e-02,1.050000e+00,1.129032e+01,21.054,69.500
0.00,0.003,-1.241174e-04,54,417261.333,417261.333,9.260000e-02,1.046000e+00,1.129590e+01,21.058,70.500
0.00,0.003,-1.241174e-04,55,417264.000,417264.000,9.270000e-02,1.048000e+00,1.130529e+01,21.066,69.100
0.00,0.003,-1.241174e-04,56,417266.667,417266.667,9.260000e-02,1.044000e+00,1.127430e+01,21.042,69.100
0.00,0.003,-1.241174e-04,57,417269.333,417269.333,9.290000e-02,1.048000e+00,1.128095e+01,21.047,69.200
0.00,0.003,-1.241174e-04,58,417272.000,417272.000,9.270000e-02,1.043000e+00,1.125135e+01,21.024,69.700
0.00,0.003,-1.241174e-04,59,417274.667,417274.667,9.270000e-02,1.042000e+00,1.124056e+01,21.016,70.000
0.00,0.003,-1.241174e-04,60,417277.333,417277.333,9.260000e-02,1.052000e+00,1.136069e+01,21.108,69.200
0.00,0.003,-1.241174e-04,61,417280.000,417280.000,9.270000e-02,1.046000e+00,1.128371e+01,21.049,70.200
0.00,0.003,-1.241174e-04,62,417282.667,417282.667,9.260000e-02,1.045000e+00,1.128510e+01,21.050,70.100
0.00,0.003,-1.241174e-04,63,417285.333,417285.333,9.270000e-02,1.053000e+00,1.135922e+01,21.107,69.300
0.00,0.003,-1.241174e-04,64,417288.000,417288.000,9.290000e-02,1.036000e+00,1.115178e+01,20.947,70.200
0.00,0.003,-1.241174e-04,65,417290.667,417290.667,9.250000e-02,1.044000e+00,1.128649e+01,21.051,69.300
0.00,0.003,-1.241174e-04,66,417293.333,417293.333,9.260000e-02,1.047000e+00,1.130670e+01,21.067,69.600
0.00,0.003,-1.241174e-04,67,417296.000,417296.000,9.280000e-02,1.054000e+00,1.135776e+01,21.106,68.600
0.00,0.003,-1.241174e-04,68,417298.667,417298.667,9.260000e-02,1.039000e+00,1.122030e+01,21.000,70.200
0.00,0.003,-1.241174e-04,69,417301.333,417301.333,9.270000e-02,1.048000e+00,1.130529e+01,21.066,70.100
0.00,0.003,-1.241174e-04,70,417304.000,417304.000,9.250000e-02,1.050000e+00,1.135135e+01,21.101,70.100
0.00,0.003,-1.241174e-04,71,417306.667,417306.667,9.270000e-02,1.046000e+00,1.128371e+01,21.049,70.100
0.00,0.003,-1.241174e-04,72,417309.333,417309.333,9.250000e-02,1.051000e+00,1.136216e+01,21.109,69.800
0.00,0.003,-1.241174e-04,73,417312.000,417312.000,9.260000e-02,1.047000e+00,1.130670e+01,21.067,69.800
