x-axis,1,2,3
second,Volt,Volt,Volt
+4.7650000E-03,,,
+4.7652938E-03,,,
+4.7655875E-03,,,
+4.7658813E-03,,,
+4.7661750E-03,+49.2967486E-03,+2.5590530506E+00,+84.6953341E-03
+4.7664688E-03,-8.6507976E-03,+2.5590530506E+00,+68.8043769E-03
+4.7667625E-03,-46.3849400E-03,+2.5590530506E+00,+10.8308329E-03
+4.7670563E-03,-46.3849400E-03,+2.5590530506E+00,-56.9398683E-03
+4.7673500E-03,-32.8621099E-03,+2.5590530506E+00,-97.0433106E-03
+4.7676438E-03,+20.0501402E-03,+2.5590530506E+00,-85.4282206E-03
+4.7679375E-03,+65.9366668E-03,+2.5590530506E+00,-29.3033482E-03
+4.7682313E-03,+65.9366668E-03,+2.5590530506E+00,+40.4346362E-03
+4.7685250E-03,+54.8400435E-03,+2.5590530506E+00,+82.8297897E-03
+4.7688188E-03,+5.8470505E-03,+2.5590530506E+00,+75.0223015E-03
+4.7691125E-03,-46.3849400E-03,+2.5590530506E+00,+21.0954204E-03
+4.7694063E-03,-46.3849400E-03,+2.5590530506E+00,-47.4128450E-03
+4.7697000E-03,-37.2921591E-03,+2.5590530506E+00,-93.1887653E-03
+4.7699938E-03,+8.4638579E-03,+2.5590530506E+00,-90.3315604E-03
+4.7702875E-03,+65.9366668E-03,+2.5590530506E+00,-40.2660740E-03
+4.7705813E-03,+65.9366668E-03,+2.5590530506E+00,+29.0261978E-03
+4.7708750E-03,+58.3880962E-03,+2.5590530506E+00,+78.9277997E-03
+4.7711688E-03,+15.1265730E-03,+2.5590530506E+00,+79.1972654E-03
+4.7714625E-03,-46.3849400E-03,+2.5590530506E+00,+31.2574338E-03
+4.7717562E-03,-46.3849400E-03,+2.5590530506E+00,-37.9685157E-03
+4.7720500E-03,-42.6261829E-03,+2.5590530506E+00,-90.2593911E-03
+4.7723437E-03,-5.4871436E-03,+2.5590530506E+00,-94.4667643E-03
+4.7726375E-03,+65.9354172E-03,+2.5590530506E+00,-49.1515919E-03
+4.7729312E-03,+65.9366668E-03,+2.5590530506E+00,+20.9143287E-03
+4.7732250E-03,+63.9008127E-03,+2.5590530506E+00,+74.5388337E-03
+4.7735187E-03,+29.5673806E-03,+2.5590530506E+00,+82.7833474E-03
+4.7738125E-03,-46.3249593E-03,+2.5590530506E+00,+40.6289254E-03
+4.7741062E-03,-46.3849400E-03,+2.5590530506E+00,-27.3185238E-03
+4.7744000E-03,-45.8397841E-03,+2.5590530506E+00,-83.7888737E-03
+4.7746937E-03,-14.4476141E-03,+2.5590530506E+00,-97.0795623E-03
+4.7749875E-03,+64.4821335E-03,+2.5590530506E+00,-59.1537301E-03
+4.7752812E-03,+65.9366668E-03,+2.5590530506E+00,+8.6610746E-03
+4.7755750E-03,+65.8602207E-03,+2.5590530506E+00,+68.6438335E-03
+4.7758687E-03,+36.3503880E-03,+2.5590530506E+00,+85.0633645E-03
+4.7761625E-03,-41.9876010E-03,+2.5590530506E+00,+49.6704762E-03
+4.7764562E-03,-46.3849400E-03,+2.5590530506E+00,-17.3546420E-03
+4.7767500E-03,-46.3849400E-03,+2.5590530506E+00,-79.0068185E-03
+4.7770437E-03,-20.9217133E-03,+2.5590530506E+00,-98.8234881E-03
+4.7773375E-03,+51.2788700E-03,+2.5590530506E+00,-66.7026114E-03
+4.7776312E-03,+65.9366668E-03,+2.5590530506E+00,-18.2929E-06
+4.7779250E-03,+65.9366668E-03,+2.5590530506E+00,+61.9798621E-03
+4.7782187E-03,+41.9827719E-03,+2.5590530506E+00,+85.7750345E-03
+4.7785125E-03,-27.7796598E-03,+2.5590530506E+00,+57.6360019E-03
+4.7788062E-03,-46.3849400E-03,+2.5590530506E+00,-6.1149330E-03
+4.7791000E-03,-46.3849400E-03,+2.5590530506E+00,-70.2200323E-03
+4.7793937E-03,-25.0560117E-03,+2.5590530506E+00,-99.0267985E-03
+4.7796875E-03,+40.4660895E-03,+2.5590530506E+00,-75.2317931E-03
+4.7799812E-03,+65.9366668E-03,+2.5590530506E+00,-12.5547116E-03
+4.7802750E-03,+65.9366668E-03,+2.5590530506E+00,+54.3893832E-03
