x-axis,1,2,3
second,Volt,Volt,Volt
+805.000E-06,-14.544362E-03,-107.019471E-03,+121.644157E-03
+806.250E-06,+28.179255E-03,-107.019471E-03,+121.644157E-03
+807.500E-06,-25.014997E-03,-107.333542E-03,+121.659861E-03
+808.750E-06,+38.937735E-03,-106.862436E-03,+121.644157E-03
+810.000E-06,-34.250549E-03,-107.333542E-03,+121.659861E-03
+811.250E-06,+45.841944E-03,-106.705401E-03,+121.644157E-03
+812.500E-06,-41.740656E-03,-107.333542E-03,+121.644157E-03
+813.750E-06,+48.001805E-03,-107.019471E-03,+121.659861E-03
+815.000E-06,-48.069173E-03,-107.490577E-03,+121.659861E-03
+816.250E-06,+46.035882E-03,-107.019471E-03,+121.659861E-03
+817.500E-06,-50.312735E-03,-107.333542E-03,+121.644157E-03
+818.750E-06,+41.048602E-03,-106.862436E-03,+121.644157E-03
+820.000E-06,-48.406014E-03,-107.176506E-03,+121.659861E-03
+821.250E-06,+33.382930E-03,-107.019471E-03,+121.675564E-03
+822.500E-06,-42.914494E-03,-107.176506E-03,+121.675564E-03
+823.750E-06,+24.300487E-03,-107.176506E-03,+121.644157E-03
+825.000E-06,-31.823257E-03,-107.176506E-03,+121.659861E-03
+826.250E-06,+14.368797E-03,-107.176506E-03,+121.644157E-03
+827.500E-06,-18.361887E-03,-107.176506E-03,+121.644157E-03
+828.750E-06,+3.432710E-03,-107.176506E-03,+121.659861E-03
+830.000E-06,-2.432396E-03,-106.862436E-03,+121.659861E-03
+831.250E-06,-6.723540E-03,-107.019471E-03,+121.644157E-03
+832.500E-06,+13.774733E-03,-106.862436E-03,+121.644157E-03
+833.750E-06,-16.883872E-03,-107.647612E-03,+121.644157E-03
+835.000E-06,+27.962861E-03,-107.019471E-03,+121.659861E-03
+836.250E-06,-26.811479E-03,-107.176506E-03,+121.659861E-03
+837.500E-06,+38.972440E-03,-107.019471E-03,+121.659861E-03
+838.750E-06,-36.232804E-03,-107.019471E-03,+121.644157E-03
+840.000E-06,+45.586761E-03,-107.019471E-03,+121.644157E-03
+841.250E-06,-43.990342E-03,-107.176506E-03,+121.644157E-03
+842.500E-06,+47.952810E-03,-107.019471E-03,+121.659861E-03
+843.750E-06,-48.291692E-03,-107.019471E-03,+121.659861E-03
+845.000E-06,+45.831736E-03,-106.705401E-03,+121.644157E-03
+846.250E-06,-48.969456E-03,-107.333542E-03,+121.659861E-03
+847.500E-06,+40.123822E-03,-107.019471E-03,+121.659861E-03
+848.750E-06,-45.988929E-03,-107.176506E-03,+121.644157E-03
+850.000E-06,+32.829695E-03,-106.862436E-03,+121.659861E-03
+851.250E-06,-39.874764E-03,-107.176506E-03,+121.659861E-03
+852.500E-06,+23.716630E-03,-106.862436E-03,+121.659861E-03
+853.750E-06,-28.952968E-03,-107.019471E-03,+121.644157E-03
+855.000E-06,+12.682553E-03,-106.548366E-03,+121.644157E-03
+856.250E-06,-14.117698E-03,-107.176506E-03,+121.644157E-03
+857.500E-06,+2.797817E-03,-107.176506E-03,+121.644157E-03
+858.750E-06,+2.222126E-03,-107.019471E-03,+121.644157E-03
+860.000E-06,-7.591159E-03,-107.176506E-03,+121.644157E-03
+861.250E-06,+17.320744E-03,-107.176506E-03,+121.659861E-03
+862.500E-06,-17.892352E-03,-107.333542E-03,+121.644157E-03
+863.750E-06,+30.761699E-03,-106.548366E-03,+121.659861E-03
+865.000E-06,-27.436165E-03,-106.862436E-03,+121.659861E-03
+866.250E-06,+39.976837E-03,-106.862436E-03,+121.644157E-03
+867.500E-06,-36.191975E-03,-107.019471E-03,+121.659861E-03
+868.750E-06,+45.709249E-03,-106.862436E-03,+121.644157E-03
+870.000E-06,-42.918577E-03,-107.333542E-03,+121.659861E-03
+871.250E-06,+46.760599E-03,-106.862436E-03,+121.644157E-03
+872.500E-06,-47.128062E-03,-107.019471E-03,+121.659861E-03
+873.750E-06,+44.480292E-03,-106.862436E-03,+121.644157E-03
+875.000E-06,-48.861259E-03,-107.647612E-03,+121.644157E-03
+876.250E-06,+38.296718E-03,-106.862436E-03,+121.644157E-03
+877.500E-06,-46.113457E-03,-107.176506E-03,+121.659861E-03
