x-axis,1,2,3
second,Volt,Volt,Volt
+3.105000000E-03,+128.740419431E-03,-41.182474433E-03,-90.967021639E-03
+3.105005000E-03,+145.323333826E-03,-41.418027194E-03,-90.421795514E-03
+3.105010000E-03,+162.009891436E-03,-40.161745801E-03,-89.678705070E-03
+3.105015000E-03,+177.089979215E-03,-42.674308588E-03,-89.142272915E-03
+3.105020000E-03,+192.584639852E-03,-41.025439259E-03,-88.196921166E-03
+3.105025000E-03,+207.820192453E-03,-41.182474432E-03,-87.809986497E-03
+3.105030000E-03,+223.781247558E-03,-40.946921672E-03,-86.763504096E-03
+3.105035000E-03,+239.275908196E-03,-41.418027194E-03,-86.398554351E-03
+3.105040000E-03,+254.977855263E-03,-42.203203066E-03,-85.272926222E-03
+3.105045000E-03,+270.368872687E-03,-41.025439259E-03,-84.947549342E-03
+3.105050000E-03,+285.863533325E-03,-40.711368911E-03,-83.681217697E-03
+3.105055000E-03,+302.187339683E-03,-41.810615130E-03,-83.395413680E-03
+3.105060000E-03,+317.267427461E-03,-41.967650304E-03,-81.940011685E-03
+3.105065000E-03,+332.658444884E-03,-41.260992020E-03,-81.742147366E-03
+3.105070000E-03,+347.945819091E-03,-41.732097543E-03,-80.216393613E-03
+3.105075000E-03,+363.129550084E-03,-42.281720652E-03,-80.124056931E-03
+3.105080000E-03,+378.468745899E-03,-41.418027194E-03,-78.422423783E-03
+3.105085000E-03,+394.222514575E-03,-40.946921671E-03,-78.360865995E-03
+3.105090000E-03,+408.162526990E-03,-43.066896524E-03,-76.610866014E-03
+3.105095000E-03,+422.879863515E-03,-40.397298562E-03,-76.606469029E-03
+3.105100000E-03,+438.219059330E-03,-42.517273414E-03,-74.812499199E-03
+3.105105000E-03,+452.677287818E-03,-41.103956845E-03,-74.715765532E-03
+3.105110000E-03,+467.550089167E-03,-40.789886498E-03,-73.005338414E-03
+3.105115000E-03,+483.407501056E-03,-43.066896523E-03,-72.706343443E-03
+3.105120000E-03,+497.192048648E-03,-40.711368912E-03,-71.145413811E-03
+3.105125000E-03,+511.442990706E-03,-40.161745802E-03,-70.732097233E-03
+3.105130000E-03,+525.590289550E-03,-40.554333737E-03,-69.232725389E-03
+3.105135000E-03,+540.359447683E-03,-41.339509608E-03,-68.788629917E-03
+3.105140000E-03,+554.195816881E-03,-40.868404085E-03,-67.311242998E-03
+3.105145000E-03,+568.135829295E-03,-41.967650305E-03,-66.638504312E-03
+3.105150000E-03,+581.972198494E-03,-41.103956845E-03,-65.240263121E-03
+3.105155000E-03,+595.860389301E-03,-42.360238238E-03,-64.483981722E-03
+3.105160000E-03,+610.266796180E-03,-40.868404085E-03,-63.164886258E-03
+3.105165000E-03,+622.859446801E-03,-40.397298562E-03,-62.373428981E-03
+3.105170000E-03,+636.488529566E-03,-40.554333738E-03,-60.970790804E-03
+3.105175000E-03,+650.324898766E-03,-42.203203066E-03,-60.262876240E-03
+3.105180000E-03,+663.332122243E-03,-41.496544783E-03,-58.877826003E-03
+3.105185000E-03,+676.132059293E-03,-41.810615129E-03,-58.125941589E-03
+3.105190000E-03,+688.776531519E-03,-41.967650303E-03,-56.723303413E-03
+3.105195000E-03,+702.042863036E-03,-41.025439260E-03,-55.914258195E-03
+3.105200000E-03,+713.339973468E-03,-40.083228214E-03,-54.397298413E-03
+3.105205000E-03,+726.088088911E-03,-41.025439258E-03,-53.698177817E-03
+3.105210000E-03,+739.043490779E-03,-40.318780975E-03,-51.987750700E-03
