x-axis,1,2,3
second,Volt,Volt,Volt
+3.1050000000E-03,+242.4773838729E-03,+2.5528030505484E+00,+95.0738055145E-03
+3.1050006250E-03,+240.0150723411E-03,+2.5528030505484E+00,+94.8627502403E-03
+3.1050012500E-03,+237.8542683437E-03,+2.5528030505484E+00,+94.8363683310E-03
+3.1050018750E-03,+236.4974844383E-03,+2.5528030505484E+00,+94.8143834066E-03
+3.1050025000E-03,+234.0351729065E-03,+2.5528030505484E+00,+94.7792075276E-03
+3.1050031250E-03,+231.8743689095E-03,+2.5528030505484E+00,+94.8099864218E-03
+3.1050037500E-03,+230.4170824926E-03,+2.5528030505484E+00,+94.9023231042E-03
+3.1050043750E-03,+228.7587910523E-03,+2.5528030505484E+00,+94.9638808926E-03
+3.1050050000E-03,+226.4472332881E-03,+2.5528030505484E+00,+95.1177753632E-03
+3.1050056250E-03,+224.5879368252E-03,+2.5528030505484E+00,+95.1837301363E-03
+3.1050062500E-03,+222.6281378510E-03,+2.5528030505484E+00,+95.1793331514E-03
+3.1050068750E-03,+220.7185901326E-03,+2.5528030505484E+00,+95.1661421969E-03
+3.1050075000E-03,+218.9597961798E-03,+2.5528030505484E+00,+95.2364939546E-03
+3.1050081250E-03,+216.2462283719E-03,+2.5528030505484E+00,+95.0913934539E-03
+3.1050087500E-03,+215.0401982323E-03,+2.5528030505484E+00,+95.0606145595E-03
+3.1050093750E-03,+213.0301480016E-03,+2.5528030505484E+00,+94.9111170736E-03
+3.1050100000E-03,+210.7185902374E-03,+2.5528030505484E+00,+94.7352376785E-03
+3.1050106250E-03,+208.6080374976E-03,+2.5528030505484E+00,+94.5725492382E-03
+3.1050112500E-03,+207.2010023363E-03,+2.5528030505484E+00,+94.5109914498E-03
+3.1050118750E-03,+205.6934646616E-03,+2.5528030505484E+00,+94.4142577828E-03
+3.1050125000E-03,+203.4321581527E-03,+2.5528030505484E+00,+94.4230517525E-03
+3.1050131250E-03,+201.1206003895E-03,+2.5528030505484E+00,+94.4274487377E-03
+3.1050137500E-03,+199.2613039270E-03,+2.5528030505484E+00,+94.5065944651E-03
+3.1050143750E-03,+197.5025099759E-03,+2.5528030505484E+00,+94.4890065261E-03
+3.1050150000E-03,+195.7939672778E-03,+2.5528030505484E+00,+94.5989311479E-03
+3.1050156250E-03,+193.3819070038E-03,+2.5528030505484E+00,+94.6736798908E-03
+3.1050162500E-03,+191.5226105422E-03,+2.5528030505484E+00,+94.7352376791E-03
+3.1050168750E-03,+189.9648216149E-03,+2.5528030505484E+00,+94.7923984823E-03
+3.1050175000E-03,+188.6582889589E-03,+2.5528030505484E+00,+94.8143834065E-03
+3.1050181250E-03,+185.8442186402E-03,+2.5528030505484E+00,+94.7923984821E-03
+3.1050187500E-03,+183.7839171560E-03,+2.5528030505484E+00,+94.7616195876E-03
+3.1050193750E-03,+182.0753744602E-03,+2.5528030505484E+00,+94.6472979807E-03
+3.1050200000E-03,+180.3165805089E-03,+2.5528030505484E+00,+94.5197854193E-03
+3.1050206250E-03,+178.5577865579E-03,+2.5528030505484E+00,+94.4098607975E-03
+3.1050212500E-03,+176.8492438636E-03,+2.5528030505484E+00,+94.3263180845E-03
+3.1050218750E-03,+175.3919574419E-03,+2.5528030505484E+00,+94.1988055234E-03
+3.1050225000E-03,+173.0301484207E-03,+2.5528030505484E+00,+94.1284537651E-03
+3.1050231250E-03,+170.5175856369E-03,+2.5528030505484E+00,+94.0097351743E-03
+3.1050237500E-03,+168.6582891780E-03,+2.5528030505484E+00,+94.0581020078E-03
+3.1050243750E-03,+167.4522590335E-03,+2.5528030505484E+00,+94.0756899473E-03
+3.1050250000E-03,+165.1909525196E-03,+2.5528030505484E+00,+94.0932778869E-03
+3.1050256250E-03,+162.1256259344E-03,+2.5528030505484E+00,+94.1240567806E-03
+3.1050262500E-03,+161.4723596002E-03,+2.5528030505484E+00,+94.0800869329E-03
+3.1050268750E-03,+159.4120581100E-03,+2.5528030505484E+00,+94.1988055237E-03
+3.1050275000E-03,+156.6984903036E-03,+2.5528030505484E+00,+94.1856145695E-03
+3.1050281250E-03,+154.5879375667E-03,+2.5528030505484E+00,+94.2339814026E-03
+3.1050287500E-03,+153.1306511481E-03,+2.5528030505484E+00,+94.2032025085E-03
+3.1050293750E-03,+151.4221084533E-03,+2.5528030505484E+00,+94.1812175839E-03
+3.1050300000E-03,+149.8140682657E-03,+2.5528030505484E+00,+94.1372477346E-03
+3.1050306250E-03,+147.7537667823E-03,+2.5528030505484E+00,+94.0229261280E-03
+3.1050312500E-03,+145.9949728314E-03,+2.5528030505484E+00,+93.9349864308E-03
+3.1050318750E-03,+144.2864301297E-03,+2.5528030505484E+00,+93.8954135661E-03
+3.1050325000E-03,+141.8241186020E-03,+2.5528030505484E+00,+93.7635040203E-03
+3.1050331250E-03,+139.8643196264E-03,+2.5528030505484E+00,+93.6887552773E-03
+3.1050337500E-03,+137.7537668884E-03,+2.5528030505484E+00,+93.6096095497E-03
+3.1050343750E-03,+136.0452241884E-03,+2.5528030505484E+00,+93.5524487472E-03
+3.1050350000E-03,+133.8341689303E-03,+2.5528030505484E+00,+93.6052125651E-03
+3.1050356250E-03,+131.0703498797E-03,+2.5528030505484E+00,+93.5788306562E-03
+3.1050362500E-03,+130.0150735018E-03,+2.5528030505484E+00,+93.6008155803E-03
+3.1050368750E-03,+128.2060282933E-03,+2.5528030505484E+00,+93.5832276413E-03
+3.1050375000E-03,+126.2462293185E-03,+2.5528030505484E+00,+93.6184035206E-03
+3.1050381250E-03,+124.2361790929E-03,+2.5528030505484E+00,+93.6843582933E-03
+3.1050387500E-03,+122.6783901611E-03,+2.5528030505484E+00,+93.7019462323E-03
+3.1050393750E-03,+120.7688424374E-03,+2.5528030505484E+00,+93.6711673384E-03
+3.1050400000E-03,+118.3567821665E-03,+2.5528030505484E+00,+93.6667703527E-03
+3.1050406250E-03,+116.4472344501E-03,+2.5528030505484E+00,+93.5788306556E-03
+3.1050412500E-03,+114.7386917556E-03,+2.5528030505484E+00,+93.5392577912E-03
+3.1050418750E-03,+113.1306515666E-03,+2.5528030505484E+00,+93.4469211090E-03
+3.1050425000E-03,+111.0703500731E-03,+2.5528030505484E+00,+93.3765693512E-03
+3.1050431250E-03,+108.3065310219E-03,+2.5528030505484E+00,+93.3369964869E-03
+3.1050437500E-03,+106.8994958592E-03,+2.5528030505484E+00,+93.2622477437E-03
+3.1050443750E-03,+105.3417069216E-03,+2.5528030505484E+00,+93.1567201070E-03
+3.1050450000E-03,+102.9798978930E-03,+2.5528030505484E+00,+93.0863683493E-03
+3.1050456250E-03,+99.9145713119E-03,+2.5528030505484E+00,+93.0511924705E-03
+3.1050462500E-03,+98.5075361514E-03,+2.5528030505484E+00,+93.0336045316E-03
+3.1050468750E-03,+97.1507522339E-03,+2.5528030505484E+00,+93.0643834252E-03
+3.1050475000E-03,+94.7889432191E-03,+2.5528030505484E+00,+93.0467954850E-03
+3.1050481250E-03,+92.8793955062E-03,+2.5528030505484E+00,+92.9764437279E-03
+3.1050487500E-03,+91.4221090869E-03,+2.5528030505484E+00,+92.9808407129E-03
+3.1050493750E-03,+89.7638176380E-03,+2.5528030505484E+00,+92.9984286517E-03
+3.1050500000E-03,+87.4020086177E-03,+2.5528030505484E+00,+92.9588557875E-03
+3.1050506250E-03,+85.0401996014E-03,+2.5528030505484E+00,+92.8972980003E-03
+3.1050512500E-03,+82.9798981256E-03,+2.5528030505484E+00,+92.9148859394E-03
+3.1050518750E-03,+81.6733654632E-03,+2.5528030505484E+00,+92.9060919689E-03
+3.1050525000E-03,+79.4120589564E-03,+2.5528030505484E+00,+92.8445341804E-03
+3.1050531250E-03,+77.3015062232E-03,+2.5528030505484E+00,+92.7653884528E-03
+3.1050537500E-03,+75.7939685542E-03,+2.5528030505484E+00,+92.6994336800E-03
+3.1050543750E-03,+74.5376871497E-03,+2.5528030505484E+00,+92.6598608154E-03
+3.1050550000E-03,+72.5276369160E-03,+2.5528030505484E+00,+92.5719211169E-03
+3.1050556250E-03,+70.2663304174E-03,+2.5528030505484E+00,+92.4180266484E-03
+3.1050562500E-03,+68.7085414854E-03,+2.5528030505484E+00,+92.4180266477E-03
+3.1050568750E-03,+66.8994962701E-03,+2.5528030505484E+00,+92.3696598134E-03
+3.1050575000E-03,+64.5376872377E-03,+2.5528030505484E+00,+92.2817201165E-03
+3.1050581250E-03,+61.3718581529E-03,+2.5528030505484E+00,+92.2377502671E-03
+3.1050587500E-03,+60.0150742468E-03,+2.5528030505484E+00,+92.1498105705E-03
+3.1050593750E-03,+58.6080390709E-03,+2.5528030505484E+00,+92.1278256474E-03
+3.1050600000E-03,+56.2462300498E-03,+2.5528030505484E+00,+92.1893834353E-03
+3.1050606250E-03,+53.8341697937E-03,+2.5528030505484E+00,+92.2245593140E-03
+3.1050612500E-03,+52.6783909066E-03,+2.5528030505484E+00,+92.2377502692E-03
+3.1050618750E-03,+51.2211044800E-03,+2.5528030505484E+00,+92.2861171013E-03
+3.1050625000E-03,+49.1608029843E-03,+2.5528030505484E+00,+92.2421472544E-03
+3.1050631250E-03,+46.4974864577E-03,+2.5528030505484E+00,+92.3081020258E-03
