# Sweep Frequenza MEMS - Data: 2026-09-07 10:33:04
"# f_start=415000.0 Hz, f_stop=420000.0 Hz, points=10, Vin_nominal=0.1 Vpp"
step,frequency_Hz,Vin_Vpp_V,Vout_Vpp_V,Gain_linear,Gain_dB,Phase_deg
1,415000.0000,9.968853e-02,8.600000e-02,8.626870e-01,-1.283,-90.000
2,415555.5556,9.968853e-02,8.600000e-02,8.626870e-01,-1.283,-90.000
3,416111.1111,9.968853e-02,8.600000e-02,8.626870e-01,-1.283,-90.000
4,416666.6667,9.968853e-02,8.600000e-02,8.626870e-01,-1.283,-90.000
5,417222.2222,9.968853e-02,8.600000e-02,8.626870e-01,-1.283,-90.000
6,417777.7778,9.968853e-02,8.600000e-02,8.626870e-01,-1.283,-90.000
7,418333.3333,9.968853e-02,8.600000e-02,8.626870e-01,-1.283,-90.000
8,418888.8889,9.968853e-02,8.600000e-02,8.626870e-01,-1.283,-90.000
9,419444.4444,9.968853e-02,8.600000e-02,8.626870e-01,-1.283,-90.000
10,420000.0000,9.968853e-02,8.600000e-02,8.626870e-01,-1.283,-90.000
